Borehole,Model,Date,Sim,Obs
Ampney Crucis,AquiMod,01/01/1962,101.315,
Ampney Crucis,AquiMod,02/01/1962,101.288,
Ampney Crucis,AquiMod,03/01/1962,101.262,
Ampney Crucis,AquiMod,04/01/1962,101.236,
Ampney Crucis,AquiMod,05/01/1962,101.269,102.02
Ampney Crucis,AquiMod,06/01/1962,101.386,102.16571428571429
Ampney Crucis,AquiMod,07/01/1962,101.53,102.31142857142856
Ampney Crucis,AquiMod,08/01/1962,101.696,102.45714285714286
Ampney Crucis,AquiMod,09/01/1962,101.894,102.60285714285715
Ampney Crucis,AquiMod,10/01/1962,102.144,102.74857142857144
Ampney Crucis,AquiMod,11/01/1962,102.403,102.89428571428572
Ampney Crucis,AquiMod,12/01/1962,102.639,103.04
Ampney Crucis,AquiMod,13/01/1962,102.831,103.02714285714286
Ampney Crucis,AquiMod,14/01/1962,102.946,103.01428571428572
Ampney Crucis,AquiMod,15/01/1962,103.021,103.00142857142858
Ampney Crucis,AquiMod,16/01/1962,103.048,102.98857142857143
Ampney Crucis,AquiMod,17/01/1962,103.036,102.97571428571429
Ampney Crucis,AquiMod,18/01/1962,103.027,102.96285714285715
Ampney Crucis,AquiMod,19/01/1962,103.003,102.95
Ampney Crucis,AquiMod,20/01/1962,102.987,102.95142857142858
Ampney Crucis,AquiMod,21/01/1962,103.007,102.95285714285714
Ampney Crucis,AquiMod,22/01/1962,103.012,102.95428571428572
Ampney Crucis,AquiMod,23/01/1962,103.013,102.95571428571428
Ampney Crucis,AquiMod,24/01/1962,103.003,102.95714285714286
Ampney Crucis,AquiMod,25/01/1962,102.979,102.95857142857142
Ampney Crucis,AquiMod,26/01/1962,102.95,102.96
Ampney Crucis,AquiMod,27/01/1962,102.918,102.92571428571428
Ampney Crucis,AquiMod,28/01/1962,102.881,102.89142857142856
Ampney Crucis,AquiMod,29/01/1962,102.841,102.85714285714285
Ampney Crucis,AquiMod,30/01/1962,102.815,102.82285714285715
Ampney Crucis,AquiMod,31/01/1962,102.8,102.78857142857143
Ampney Crucis,AquiMod,01/02/1962,102.782,102.75428571428571
Ampney Crucis,AquiMod,02/02/1962,102.761,102.72
Ampney Crucis,AquiMod,03/02/1962,102.736,102.69857142857143
Ampney Crucis,AquiMod,04/02/1962,102.706,102.67714285714285
Ampney Crucis,AquiMod,05/02/1962,102.673,102.65571428571428
Ampney Crucis,AquiMod,06/02/1962,102.646,102.63428571428571
Ampney Crucis,AquiMod,07/02/1962,102.623,102.61285714285714
Ampney Crucis,AquiMod,08/02/1962,102.599,102.59142857142857
Ampney Crucis,AquiMod,09/02/1962,102.572,102.57
Ampney Crucis,AquiMod,10/02/1962,102.544,102.54142857142857
Ampney Crucis,AquiMod,11/02/1962,102.513,102.51285714285714
Ampney Crucis,AquiMod,12/02/1962,102.49,102.48428571428572
Ampney Crucis,AquiMod,13/02/1962,102.468,102.45571428571428
