Borehole,Model,Date,Sim,Obs
Ashley Green,AquiMod,01/01/1962,118.279,
Ashley Green,AquiMod,02/01/1962,118.312,
Ashley Green,AquiMod,03/01/1962,118.343,
Ashley Green,AquiMod,04/01/1962,118.379,
Ashley Green,AquiMod,05/01/1962,118.419,
Ashley Green,AquiMod,06/01/1962,118.457,
Ashley Green,AquiMod,07/01/1962,118.493,
Ashley Green,AquiMod,08/01/1962,118.532,
Ashley Green,AquiMod,09/01/1962,118.578,
Ashley Green,AquiMod,10/01/1962,118.636,
Ashley Green,AquiMod,11/01/1962,118.703,
Ashley Green,AquiMod,12/01/1962,118.767,
Ashley Green,AquiMod,13/01/1962,118.828,
Ashley Green,AquiMod,14/01/1962,118.886,
Ashley Green,AquiMod,15/01/1962,118.951,
Ashley Green,AquiMod,16/01/1962,119.023,
Ashley Green,AquiMod,17/01/1962,119.099,
Ashley Green,AquiMod,18/01/1962,119.178,
Ashley Green,AquiMod,19/01/1962,119.259,
Ashley Green,AquiMod,20/01/1962,119.345,
Ashley Green,AquiMod,21/01/1962,119.455,
Ashley Green,AquiMod,22/01/1962,119.561,
Ashley Green,AquiMod,23/01/1962,119.672,
Ashley Green,AquiMod,24/01/1962,119.784,
Ashley Green,AquiMod,25/01/1962,119.892,
Ashley Green,AquiMod,26/01/1962,119.997,
Ashley Green,AquiMod,27/01/1962,120.098,
Ashley Green,AquiMod,28/01/1962,120.196,
Ashley Green,AquiMod,29/01/1962,120.291,
Ashley Green,AquiMod,30/01/1962,120.382,
Ashley Green,AquiMod,31/01/1962,120.481,
Ashley Green,AquiMod,01/02/1962,120.577,
Ashley Green,AquiMod,02/02/1962,120.669,
Ashley Green,AquiMod,03/02/1962,120.757,
Ashley Green,AquiMod,04/02/1962,120.843,
Ashley Green,AquiMod,05/02/1962,120.926,
Ashley Green,AquiMod,06/02/1962,121.009,
Ashley Green,AquiMod,07/02/1962,121.089,
Ashley Green,AquiMod,08/02/1962,121.165,
Ashley Green,AquiMod,09/02/1962,121.238,
Ashley Green,AquiMod,10/02/1962,121.309,
Ashley Green,AquiMod,11/02/1962,121.376,
Ashley Green,AquiMod,12/02/1962,121.443,
Ashley Green,AquiMod,13/02/1962,121.507,
Ashley Green,AquiMod,14/02/1962,121.567,
Ashley Green,AquiMod,15/02/1962,121.625,
Ashley Green,AquiMod,16/02/1962,121.681,
Ashley Green,AquiMod,17/02/1962,121.733,
Ashley Green,AquiMod,18/02/1962,121.782,
Ashley Green,AquiMod,19/02/1962,121.825,
Ashley Green,AquiMod,20/02/1962,121.864,
Ashley Green,AquiMod,21/02/1962,121.902,
Ashley Green,AquiMod,22/02/1962,121.936,
Ashley Green,AquiMod,23/02/1962,121.968,
Ashley Green,AquiMod,24/02/1962,121.998,
Ashley Green,AquiMod,25/02/1962,122.025,
Ashley Green,AquiMod,26/02/1962,122.049,
Ashley Green,AquiMod,27/02/1962,122.072,
Ashley Green,AquiMod,28/02/1962,122.092,
Ashley Green,AquiMod,01/03/1962,122.109,
Ashley Green,AquiMod,02/03/1962,122.125,
Ashley Green,AquiMod,03/03/1962,122.138,
Ashley Green,AquiMod,04/03/1962,122.149,
Ashley Green,AquiMod,05/03/1962,122.157,
Ashley Green,AquiMod,06/03/1962,122.164,
Ashley Green,AquiMod,07/03/1962,122.169,
Ashley Green,AquiMod,08/03/1962,122.172,
Ashley Green,AquiMod,09/03/1962,122.176,
Ashley Green,AquiMod,10/03/1962,122.183,
Ashley Green,AquiMod,11/03/1962,122.189,
Ashley Green,AquiMod,12/03/1962,122.192,
Ashley Green,AquiMod,13/03/1962,122.194,
Ashley Green,AquiMod,14/03/1962,122.193,
Ashley Green,AquiMod,15/03/1962,122.191,
Ashley Green,AquiMod,16/03/1962,122.187,
Ashley Green,AquiMod,17/03/1962,122.181,
Ashley Green,AquiMod,18/03/1962,122.173,
Ashley Green,AquiMod,19/03/1962,122.163,
Ashley Green,AquiMod,20/03/1962,122.151,
Ashley Green,AquiMod,21/03/1962,122.136,
Ashley Green,AquiMod,22/03/1962,122.12,
Ashley Green,AquiMod,23/03/1962,122.102,
Ashley Green,AquiMod,24/03/1962,122.08,
Ashley Green,AquiMod,25/03/1962,122.058,
Ashley Green,AquiMod,26/03/1962,122.034,
Ashley Green,AquiMod,27/03/1962,122.009,
Ashley Green,AquiMod,28/03/1962,122.003,
Ashley Green,AquiMod,29/03/1962,122.002,
Ashley Green,AquiMod,30/03/1962,122.0,
Ashley Green,AquiMod,31/03/1962,121.995,
Ashley Green,AquiMod,01/04/1962,121.99,
Ashley Green,AquiMod,02/04/1962,121.989,
Ashley Green,AquiMod,03/04/1962,121.994,
Ashley Green,AquiMod,04/04/1962,122.012,
Ashley Green,AquiMod,05/04/1962,122.029,
Ashley Green,AquiMod,06/04/1962,122.044,
Ashley Green,AquiMod,07/04/1962,122.059,
Ashley Green,AquiMod,08/04/1962,122.081,
Ashley Green,AquiMod,09/04/1962,122.102,
Ashley Green,AquiMod,10/04/1962,122.12,
Ashley Green,AquiMod,11/04/1962,122.136,
Ashley Green,AquiMod,12/04/1962,122.15,
Ashley Green,AquiMod,13/04/1962,122.16,
Ashley Green,AquiMod,14/04/1962,122.167,
Ashley Green,AquiMod,15/04/1962,122.173,
Ashley Green,AquiMod,16/04/1962,122.176,
Ashley Green,AquiMod,17/04/1962,122.177,
Ashley Green,AquiMod,18/04/1962,122.179,
Ashley Green,AquiMod,19/04/1962,122.18,
Ashley Green,AquiMod,20/04/1962,122.18,
Ashley Green,AquiMod,21/04/1962,122.182,
Ashley Green,AquiMod,22/04/1962,122.182,
Ashley Green,AquiMod,23/04/1962,122.181,
Ashley Green,AquiMod,24/04/1962,122.177,
Ashley Green,AquiMod,25/04/1962,122.172,
Ashley Green,AquiMod,26/04/1962,122.165,
Ashley Green,AquiMod,27/04/1962,122.156,
Ashley Green,AquiMod,28/04/1962,122.145,
Ashley Green,AquiMod,29/04/1962,122.132,
Ashley Green,AquiMod,30/04/1962,122.118,
Ashley Green,AquiMod,01/05/1962,122.102,
Ashley Green,AquiMod,02/05/1962,122.085,
Ashley Green,AquiMod,03/05/1962,122.065,
Ashley Green,AquiMod,04/05/1962,122.052,
Ashley Green,AquiMod,05/05/1962,122.038,
Ashley Green,AquiMod,06/05/1962,122.022,
Ashley Green,AquiMod,07/05/1962,122.004,
Ashley Green,AquiMod,08/05/1962,121.985,
Ashley Green,AquiMod,09/05/1962,121.965,
Ashley Green,AquiMod,10/05/1962,121.943,
Ashley Green,AquiMod,11/05/1962,121.919,
Ashley Green,AquiMod,12/05/1962,121.894,
Ashley Green,AquiMod,13/05/1962,121.866,
Ashley Green,AquiMod,14/05/1962,121.838,
Ashley Green,AquiMod,15/05/1962,121.807,
Ashley Green,AquiMod,16/05/1962,121.775,
Ashley Green,AquiMod,17/05/1962,121.742,
Ashley Green,AquiMod,18/05/1962,121.71,
Ashley Green,AquiMod,19/05/1962,121.679,
Ashley Green,AquiMod,20/05/1962,121.656,
Ashley Green,AquiMod,21/05/1962,121.632,
Ashley Green,AquiMod,22/05/1962,121.605,
Ashley Green,AquiMod,23/05/1962,121.574,
Ashley Green,AquiMod,24/05/1962,121.541,
Ashley Green,AquiMod,25/05/1962,121.506,
Ashley Green,AquiMod,26/05/1962,121.471,
Ashley Green,AquiMod,27/05/1962,121.434,
Ashley Green,AquiMod,28/05/1962,121.395,
Ashley Green,AquiMod,29/05/1962,121.356,
Ashley Green,AquiMod,30/05/1962,121.315,
Ashley Green,AquiMod,31/05/1962,121.273,
Ashley Green,AquiMod,01/06/1962,121.23,
Ashley Green,AquiMod,02/06/1962,121.186,
Ashley Green,AquiMod,03/06/1962,121.141,
Ashley Green,AquiMod,04/06/1962,121.095,
Ashley Green,AquiMod,05/06/1962,121.047,
Ashley Green,AquiMod,06/06/1962,120.997,
Ashley Green,AquiMod,07/06/1962,120.946,
Ashley Green,AquiMod,08/06/1962,120.894,
Ashley Green,AquiMod,09/06/1962,120.842,
Ashley Green,AquiMod,10/06/1962,120.788,
Ashley Green,AquiMod,11/06/1962,120.734,
Ashley Green,AquiMod,12/06/1962,120.679,
Ashley Green,AquiMod,13/06/1962,120.623,
Ashley Green,AquiMod,14/06/1962,120.566,
Ashley Green,AquiMod,15/06/1962,120.507,
Ashley Green,AquiMod,16/06/1962,120.448,
Ashley Green,AquiMod,17/06/1962,120.389,
Ashley Green,AquiMod,18/06/1962,120.329,
Ashley Green,AquiMod,19/06/1962,120.268,
Ashley Green,AquiMod,20/06/1962,120.206,
Ashley Green,AquiMod,21/06/1962,120.144,
Ashley Green,AquiMod,22/06/1962,120.081,
Ashley Green,AquiMod,23/06/1962,120.017,
Ashley Green,AquiMod,24/06/1962,119.953,
Ashley Green,AquiMod,25/06/1962,119.888,
Ashley Green,AquiMod,26/06/1962,119.822,
Ashley Green,AquiMod,27/06/1962,119.754,
Ashley Green,AquiMod,28/06/1962,119.685,
Ashley Green,AquiMod,29/06/1962,119.615,
Ashley Green,AquiMod,30/06/1962,119.544,
Ashley Green,AquiMod,01/07/1962,119.471,
Ashley Green,AquiMod,02/07/1962,119.398,
Ashley Green,AquiMod,03/07/1962,119.322,
Ashley Green,AquiMod,04/07/1962,119.245,
Ashley Green,AquiMod,05/07/1962,119.167,
Ashley Green,AquiMod,06/07/1962,119.088,
Ashley Green,AquiMod,07/07/1962,119.008,
Ashley Green,AquiMod,08/07/1962,118.928,
Ashley Green,AquiMod,09/07/1962,118.848,
Ashley Green,AquiMod,10/07/1962,118.767,
Ashley Green,AquiMod,11/07/1962,118.686,
Ashley Green,AquiMod,12/07/1962,118.604,
Ashley Green,AquiMod,13/07/1962,118.523,
Ashley Green,AquiMod,14/07/1962,118.448,
Ashley Green,AquiMod,15/07/1962,118.373,
Ashley Green,AquiMod,16/07/1962,118.295,
Ashley Green,AquiMod,17/07/1962,118.217,
Ashley Green,AquiMod,18/07/1962,118.139,
Ashley Green,AquiMod,19/07/1962,118.06,
Ashley Green,AquiMod,20/07/1962,117.98,
Ashley Green,AquiMod,21/07/1962,117.899,
Ashley Green,AquiMod,22/07/1962,117.818,
Ashley Green,AquiMod,23/07/1962,117.736,
Ashley Green,AquiMod,24/07/1962,117.654,
Ashley Green,AquiMod,25/07/1962,117.584,
Ashley Green,AquiMod,26/07/1962,117.542,
Ashley Green,AquiMod,27/07/1962,117.5,
Ashley Green,AquiMod,28/07/1962,117.458,
Ashley Green,AquiMod,29/07/1962,117.415,
Ashley Green,AquiMod,30/07/1962,117.371,
Ashley Green,AquiMod,31/07/1962,117.326,
Ashley Green,AquiMod,01/08/1962,117.28,
Ashley Green,AquiMod,02/08/1962,117.234,
Ashley Green,AquiMod,03/08/1962,117.187,
Ashley Green,AquiMod,04/08/1962,117.139,
Ashley Green,AquiMod,05/08/1962,117.091,
Ashley Green,AquiMod,06/08/1962,117.077,
Ashley Green,AquiMod,07/08/1962,117.063,
Ashley Green,AquiMod,08/08/1962,117.047,
Ashley Green,AquiMod,09/08/1962,117.029,
Ashley Green,AquiMod,10/08/1962,117.007,
Ashley Green,AquiMod,11/08/1962,116.984,
Ashley Green,AquiMod,12/08/1962,116.959,
Ashley Green,AquiMod,13/08/1962,116.931,
Ashley Green,AquiMod,14/08/1962,116.917,
Ashley Green,AquiMod,15/08/1962,116.904,
Ashley Green,AquiMod,16/08/1962,116.903,
Ashley Green,AquiMod,17/08/1962,116.901,
Ashley Green,AquiMod,18/08/1962,116.896,
Ashley Green,AquiMod,19/08/1962,116.89,
Ashley Green,AquiMod,20/08/1962,116.882,
Ashley Green,AquiMod,21/08/1962,116.873,
Ashley Green,AquiMod,22/08/1962,116.861,
Ashley Green,AquiMod,23/08/1962,116.85,
Ashley Green,AquiMod,24/08/1962,116.837,
Ashley Green,AquiMod,25/08/1962,116.824,
Ashley Green,AquiMod,26/08/1962,116.809,
Ashley Green,AquiMod,27/08/1962,116.793,
Ashley Green,AquiMod,28/08/1962,116.775,
Ashley Green,AquiMod,29/08/1962,116.757,
Ashley Green,AquiMod,30/08/1962,116.737,
Ashley Green,AquiMod,31/08/1962,116.716,
Ashley Green,AquiMod,01/09/1962,116.694,
Ashley Green,AquiMod,02/09/1962,116.671,
Ashley Green,AquiMod,03/09/1962,116.646,
Ashley Green,AquiMod,04/09/1962,116.637,
Ashley Green,AquiMod,05/09/1962,116.629,
Ashley Green,AquiMod,06/09/1962,116.631,
Ashley Green,AquiMod,07/09/1962,116.628,
Ashley Green,AquiMod,08/09/1962,116.621,
Ashley Green,AquiMod,09/09/1962,116.612,
Ashley Green,AquiMod,10/09/1962,116.607,
Ashley Green,AquiMod,11/09/1962,116.61,
