Borehole,Model,Date,Sim,Obs
Ashton Farm,AquiMod,01/01/1962,67.7082,
Ashton Farm,AquiMod,02/01/1962,67.9379,
Ashton Farm,AquiMod,03/01/1962,68.1287,
Ashton Farm,AquiMod,04/01/1962,68.2838,
Ashton Farm,AquiMod,05/01/1962,68.4071,
Ashton Farm,AquiMod,06/01/1962,68.5031,
Ashton Farm,AquiMod,07/01/1962,68.5759,
Ashton Farm,AquiMod,08/01/1962,68.6358,
Ashton Farm,AquiMod,09/01/1962,68.7114,
Ashton Farm,AquiMod,10/01/1962,68.8302,
Ashton Farm,AquiMod,11/01/1962,68.968,
Ashton Farm,AquiMod,12/01/1962,69.088,
Ashton Farm,AquiMod,13/01/1962,69.187,
Ashton Farm,AquiMod,14/01/1962,69.2638,
Ashton Farm,AquiMod,15/01/1962,69.3686,
Ashton Farm,AquiMod,16/01/1962,69.4685,
Ashton Farm,AquiMod,17/01/1962,69.5468,
Ashton Farm,AquiMod,18/01/1962,69.6406,
Ashton Farm,AquiMod,19/01/1962,69.7157,
Ashton Farm,AquiMod,20/01/1962,69.823,
Ashton Farm,AquiMod,21/01/1962,70.0089,
Ashton Farm,AquiMod,22/01/1962,70.1589,
Ashton Farm,AquiMod,23/01/1962,70.3193,
Ashton Farm,AquiMod,24/01/1962,70.4584,
Ashton Farm,AquiMod,25/01/1962,70.561,
Ashton Farm,AquiMod,26/01/1962,70.6331,
Ashton Farm,AquiMod,27/01/1962,70.6847,
Ashton Farm,AquiMod,28/01/1962,70.717,
Ashton Farm,AquiMod,29/01/1962,70.7343,
Ashton Farm,AquiMod,30/01/1962,70.748,
Ashton Farm,AquiMod,31/01/1962,70.769,
Ashton Farm,AquiMod,01/02/1962,70.7783,
Ashton Farm,AquiMod,02/02/1962,70.7777,
Ashton Farm,AquiMod,03/02/1962,70.7691,
Ashton Farm,AquiMod,04/02/1962,70.7541,
Ashton Farm,AquiMod,05/02/1962,70.7341,
Ashton Farm,AquiMod,06/02/1962,70.7162,
Ashton Farm,AquiMod,07/02/1962,70.7068,
Ashton Farm,AquiMod,08/02/1962,70.6912,
Ashton Farm,AquiMod,09/02/1962,70.6702,
Ashton Farm,AquiMod,10/02/1962,70.6446,
Ashton Farm,AquiMod,11/02/1962,70.6154,
Ashton Farm,AquiMod,12/02/1962,70.5833,
Ashton Farm,AquiMod,13/02/1962,70.5488,
Ashton Farm,AquiMod,14/02/1962,70.5124,
Ashton Farm,AquiMod,15/02/1962,70.4743,
Ashton Farm,AquiMod,16/02/1962,70.4349,
Ashton Farm,AquiMod,17/02/1962,70.3942,
Ashton Farm,AquiMod,18/02/1962,70.3526,
Ashton Farm,AquiMod,19/02/1962,70.3102,
Ashton Farm,AquiMod,20/02/1962,70.2669,
Ashton Farm,AquiMod,21/02/1962,70.223,
Ashton Farm,AquiMod,22/02/1962,70.1786,
Ashton Farm,AquiMod,23/02/1962,70.1336,
Ashton Farm,AquiMod,24/02/1962,70.0882,
Ashton Farm,AquiMod,25/02/1962,70.0424,
Ashton Farm,AquiMod,26/02/1962,69.9963,
Ashton Farm,AquiMod,27/02/1962,69.9499,
Ashton Farm,AquiMod,28/02/1962,69.9032,
Ashton Farm,AquiMod,01/03/1962,69.8563,
Ashton Farm,AquiMod,02/03/1962,69.8093,
Ashton Farm,AquiMod,03/03/1962,69.7621,
Ashton Farm,AquiMod,04/03/1962,69.7149,
Ashton Farm,AquiMod,05/03/1962,69.6675,
Ashton Farm,AquiMod,06/03/1962,69.6201,
Ashton Farm,AquiMod,07/03/1962,69.5727,
Ashton Farm,AquiMod,08/03/1962,69.5253,
Ashton Farm,AquiMod,09/03/1962,69.4779,
Ashton Farm,AquiMod,10/03/1962,69.4305,
Ashton Farm,AquiMod,11/03/1962,69.3832,
Ashton Farm,AquiMod,12/03/1962,69.3359,
Ashton Farm,AquiMod,13/03/1962,69.2888,
Ashton Farm,AquiMod,14/03/1962,69.2418,
Ashton Farm,AquiMod,15/03/1962,69.1949,
Ashton Farm,AquiMod,16/03/1962,69.1481,
Ashton Farm,AquiMod,17/03/1962,69.1015,
Ashton Farm,AquiMod,18/03/1962,69.0551,
Ashton Farm,AquiMod,19/03/1962,69.0088,
Ashton Farm,AquiMod,20/03/1962,68.9627,
Ashton Farm,AquiMod,21/03/1962,68.9169,
Ashton Farm,AquiMod,22/03/1962,68.8712,
Ashton Farm,AquiMod,23/03/1962,68.8258,
Ashton Farm,AquiMod,24/03/1962,68.7782,
Ashton Farm,AquiMod,25/03/1962,68.7309,
Ashton Farm,AquiMod,26/03/1962,68.6843,
Ashton Farm,AquiMod,27/03/1962,68.6382,
Ashton Farm,AquiMod,28/03/1962,68.5971,
Ashton Farm,AquiMod,29/03/1962,68.5563,
Ashton Farm,AquiMod,30/03/1962,68.5156,
Ashton Farm,AquiMod,31/03/1962,68.4749,
Ashton Farm,AquiMod,01/04/1962,68.4343,
Ashton Farm,AquiMod,02/04/1962,68.4094,
Ashton Farm,AquiMod,03/04/1962,68.3839,
Ashton Farm,AquiMod,04/04/1962,68.3932,
Ashton Farm,AquiMod,05/04/1962,68.3997,
Ashton Farm,AquiMod,06/04/1962,68.4014,
Ashton Farm,AquiMod,07/04/1962,68.4052,
Ashton Farm,AquiMod,08/04/1962,68.4042,
Ashton Farm,AquiMod,09/04/1962,68.3985,
Ashton Farm,AquiMod,10/04/1962,68.3885,
Ashton Farm,AquiMod,11/04/1962,68.3749,
Ashton Farm,AquiMod,12/04/1962,68.358,
Ashton Farm,AquiMod,13/04/1962,68.3384,
Ashton Farm,AquiMod,14/04/1962,68.3164,
Ashton Farm,AquiMod,15/04/1962,68.2926,
Ashton Farm,AquiMod,16/04/1962,68.2671,
Ashton Farm,AquiMod,17/04/1962,68.2393,
Ashton Farm,AquiMod,18/04/1962,68.2081,
Ashton Farm,AquiMod,19/04/1962,68.1767,
Ashton Farm,AquiMod,20/04/1962,68.1594,
Ashton Farm,AquiMod,21/04/1962,68.1503,
Ashton Farm,AquiMod,22/04/1962,68.1324,
Ashton Farm,AquiMod,23/04/1962,68.1099,
Ashton Farm,AquiMod,24/04/1962,68.0862,
Ashton Farm,AquiMod,25/04/1962,68.0601,
Ashton Farm,AquiMod,26/04/1962,68.0304,
Ashton Farm,AquiMod,27/04/1962,68.0009,
Ashton Farm,AquiMod,28/04/1962,67.9719,
Ashton Farm,AquiMod,29/04/1962,67.9431,
Ashton Farm,AquiMod,30/04/1962,67.9146,
Ashton Farm,AquiMod,01/05/1962,67.8861,
Ashton Farm,AquiMod,02/05/1962,67.8576,
Ashton Farm,AquiMod,03/05/1962,67.8291,
Ashton Farm,AquiMod,04/05/1962,67.8006,
Ashton Farm,AquiMod,05/05/1962,67.772,
Ashton Farm,AquiMod,06/05/1962,67.7433,
Ashton Farm,AquiMod,07/05/1962,67.7146,
Ashton Farm,AquiMod,08/05/1962,67.6859,
Ashton Farm,AquiMod,09/05/1962,67.6571,
Ashton Farm,AquiMod,10/05/1962,67.6283,
Ashton Farm,AquiMod,11/05/1962,67.5995,
Ashton Farm,AquiMod,12/05/1962,67.5706,
Ashton Farm,AquiMod,13/05/1962,67.5332,
Ashton Farm,AquiMod,14/05/1962,67.4963,
Ashton Farm,AquiMod,15/05/1962,67.4609,
Ashton Farm,AquiMod,16/05/1962,67.4268,
Ashton Farm,AquiMod,17/05/1962,67.3938,
Ashton Farm,AquiMod,18/05/1962,67.3617,
Ashton Farm,AquiMod,19/05/1962,67.3303,
Ashton Farm,AquiMod,20/05/1962,67.2996,
Ashton Farm,AquiMod,21/05/1962,67.2696,
Ashton Farm,AquiMod,22/05/1962,67.24,
Ashton Farm,AquiMod,23/05/1962,67.2102,
Ashton Farm,AquiMod,24/05/1962,67.178,
Ashton Farm,AquiMod,25/05/1962,67.1411,
Ashton Farm,AquiMod,26/05/1962,67.1024,
Ashton Farm,AquiMod,27/05/1962,67.0652,
Ashton Farm,AquiMod,28/05/1962,67.0295,
Ashton Farm,AquiMod,29/05/1962,66.9955,
Ashton Farm,AquiMod,30/05/1962,66.9583,
Ashton Farm,AquiMod,31/05/1962,66.9215,
Ashton Farm,AquiMod,01/06/1962,66.8866,
Ashton Farm,AquiMod,02/06/1962,66.8499,
Ashton Farm,AquiMod,03/06/1962,66.8148,
Ashton Farm,AquiMod,04/06/1962,66.7766,
Ashton Farm,AquiMod,05/06/1962,66.7308,
Ashton Farm,AquiMod,06/06/1962,66.6882,
Ashton Farm,AquiMod,07/06/1962,66.644,
Ashton Farm,AquiMod,08/06/1962,66.6013,
Ashton Farm,AquiMod,09/06/1962,66.5613,
Ashton Farm,AquiMod,10/06/1962,66.5239,
Ashton Farm,AquiMod,11/06/1962,66.4884,
Ashton Farm,AquiMod,12/06/1962,66.4548,
Ashton Farm,AquiMod,13/06/1962,66.423,
Ashton Farm,AquiMod,14/06/1962,66.392,
Ashton Farm,AquiMod,15/06/1962,66.3609,
Ashton Farm,AquiMod,16/06/1962,66.3312,
Ashton Farm,AquiMod,17/06/1962,66.3029,
Ashton Farm,AquiMod,18/06/1962,66.2759,
Ashton Farm,AquiMod,19/06/1962,66.2499,
Ashton Farm,AquiMod,20/06/1962,66.225,
Ashton Farm,AquiMod,21/06/1962,66.2004,
Ashton Farm,AquiMod,22/06/1962,66.1754,
Ashton Farm,AquiMod,23/06/1962,66.1514,
Ashton Farm,AquiMod,24/06/1962,66.1282,
Ashton Farm,AquiMod,25/06/1962,66.1058,
Ashton Farm,AquiMod,26/06/1962,66.0842,
Ashton Farm,AquiMod,27/06/1962,66.0631,
Ashton Farm,AquiMod,28/06/1962,66.0427,
Ashton Farm,AquiMod,29/06/1962,66.0228,
Ashton Farm,AquiMod,30/06/1962,66.0035,
Ashton Farm,AquiMod,01/07/1962,65.9846,
Ashton Farm,AquiMod,02/07/1962,65.9662,
Ashton Farm,AquiMod,03/07/1962,65.9482,
Ashton Farm,AquiMod,04/07/1962,65.9305,
Ashton Farm,AquiMod,05/07/1962,65.9133,
Ashton Farm,AquiMod,06/07/1962,65.8963,
Ashton Farm,AquiMod,07/07/1962,65.8797,
Ashton Farm,AquiMod,08/07/1962,65.8634,
Ashton Farm,AquiMod,09/07/1962,65.8474,
Ashton Farm,AquiMod,10/07/1962,65.8316,
Ashton Farm,AquiMod,11/07/1962,65.8161,
Ashton Farm,AquiMod,12/07/1962,65.8009,
Ashton Farm,AquiMod,13/07/1962,65.7858,
Ashton Farm,AquiMod,14/07/1962,65.7711,
Ashton Farm,AquiMod,15/07/1962,65.7565,
Ashton Farm,AquiMod,16/07/1962,65.7421,
Ashton Farm,AquiMod,17/07/1962,65.7279,
Ashton Farm,AquiMod,18/07/1962,65.714,
Ashton Farm,AquiMod,19/07/1962,65.7002,
