Borehole,Model,Date,Sim,Obs
Bussels,AquiMod,01/01/1962,24.0643,
Bussels,AquiMod,02/01/1962,24.0604,
Bussels,AquiMod,03/01/1962,24.0548,
Bussels,AquiMod,04/01/1962,24.0488,
Bussels,AquiMod,05/01/1962,24.0426,
Bussels,AquiMod,06/01/1962,24.0365,
Bussels,AquiMod,07/01/1962,24.0304,
Bussels,AquiMod,08/01/1962,24.0261,
Bussels,AquiMod,09/01/1962,24.0616,
Bussels,AquiMod,10/01/1962,24.1089,
Bussels,AquiMod,11/01/1962,24.1767,
Bussels,AquiMod,12/01/1962,24.2275,
Bussels,AquiMod,13/01/1962,24.257,
Bussels,AquiMod,14/01/1962,24.2673,
Bussels,AquiMod,15/01/1962,24.3176,
Bussels,AquiMod,16/01/1962,24.357,
Bussels,AquiMod,17/01/1962,24.373,
Bussels,AquiMod,18/01/1962,24.3859,
Bussels,AquiMod,19/01/1962,24.3883,
Bussels,AquiMod,20/01/1962,24.3987,
Bussels,AquiMod,21/01/1962,24.441,
Bussels,AquiMod,22/01/1962,24.4698,
Bussels,AquiMod,23/01/1962,24.4933,
Bussels,AquiMod,24/01/1962,24.5077,
Bussels,AquiMod,25/01/1962,24.5093,
Bussels,AquiMod,26/01/1962,24.5033,
Bussels,AquiMod,27/01/1962,24.4962,
Bussels,AquiMod,28/01/1962,24.4873,
Bussels,AquiMod,29/01/1962,24.4775,
Bussels,AquiMod,30/01/1962,24.4691,
Bussels,AquiMod,31/01/1962,24.4636,
Bussels,AquiMod,01/02/1962,24.4563,
Bussels,AquiMod,02/02/1962,24.4474,
Bussels,AquiMod,03/02/1962,24.4378,
Bussels,AquiMod,04/02/1962,24.4279,
Bussels,AquiMod,05/02/1962,24.4181,
Bussels,AquiMod,06/02/1962,24.4084,
Bussels,AquiMod,07/02/1962,24.4081,
Bussels,AquiMod,08/02/1962,24.4049,
Bussels,AquiMod,09/02/1962,24.3984,
Bussels,AquiMod,10/02/1962,24.39,
Bussels,AquiMod,11/02/1962,24.3808,
Bussels,AquiMod,12/02/1962,24.3723,
Bussels,AquiMod,13/02/1962,24.3635,
Bussels,AquiMod,14/02/1962,24.3546,
Bussels,AquiMod,15/02/1962,24.3455,
Bussels,AquiMod,16/02/1962,24.3366,
Bussels,AquiMod,17/02/1962,24.3277,
Bussels,AquiMod,18/02/1962,24.3188,
Bussels,AquiMod,19/02/1962,24.3101,
Bussels,AquiMod,20/02/1962,24.3015,
Bussels,AquiMod,21/02/1962,24.2929,
Bussels,AquiMod,22/02/1962,24.2845,
Bussels,AquiMod,23/02/1962,24.2761,
Bussels,AquiMod,24/02/1962,24.2678,
Bussels,AquiMod,25/02/1962,24.2596,
Bussels,AquiMod,26/02/1962,24.2515,
Bussels,AquiMod,27/02/1962,24.2434,
Bussels,AquiMod,28/02/1962,24.2355,
Bussels,AquiMod,01/03/1962,24.2276,
Bussels,AquiMod,02/03/1962,24.2198,
Bussels,AquiMod,03/03/1962,24.2121,
Bussels,AquiMod,04/03/1962,24.2044,
Bussels,AquiMod,05/03/1962,24.1968,
