Borehole,Model,Date,Sim,Obs
Castle Farm,AquiMod,01/01/1962,17.3184,
Castle Farm,AquiMod,02/01/1962,17.3503,
Castle Farm,AquiMod,03/01/1962,17.3826,
Castle Farm,AquiMod,04/01/1962,17.4172,
Castle Farm,AquiMod,05/01/1962,17.4515,
Castle Farm,AquiMod,06/01/1962,17.4851,
Castle Farm,AquiMod,07/01/1962,17.5183,
Castle Farm,AquiMod,08/01/1962,17.5508,
Castle Farm,AquiMod,09/01/1962,17.5882,
Castle Farm,AquiMod,10/01/1962,17.6265,
Castle Farm,AquiMod,11/01/1962,17.6671,
Castle Farm,AquiMod,12/01/1962,17.7073,
Castle Farm,AquiMod,13/01/1962,17.7467,
Castle Farm,AquiMod,14/01/1962,17.7854,
Castle Farm,AquiMod,15/01/1962,17.8239,
Castle Farm,AquiMod,16/01/1962,17.8615,
Castle Farm,AquiMod,17/01/1962,17.8988,
Castle Farm,AquiMod,18/01/1962,17.9364,
Castle Farm,AquiMod,19/01/1962,17.9739,
Castle Farm,AquiMod,20/01/1962,18.0141,
Castle Farm,AquiMod,21/01/1962,18.0587,
Castle Farm,AquiMod,22/01/1962,18.1029,
Castle Farm,AquiMod,23/01/1962,18.1473,
Castle Farm,AquiMod,24/01/1962,18.1916,
Castle Farm,AquiMod,25/01/1962,18.2351,
Castle Farm,AquiMod,26/01/1962,18.2777,
Castle Farm,AquiMod,27/01/1962,18.3193,
Castle Farm,AquiMod,28/01/1962,18.36,
Castle Farm,AquiMod,29/01/1962,18.3996,
Castle Farm,AquiMod,30/01/1962,18.4383,
Castle Farm,AquiMod,31/01/1962,18.4788,
Castle Farm,AquiMod,01/02/1962,18.5185,
Castle Farm,AquiMod,02/02/1962,18.5572,
Castle Farm,AquiMod,03/02/1962,18.5949,
Castle Farm,AquiMod,04/02/1962,18.6316,
Castle Farm,AquiMod,05/02/1962,18.6673,
Castle Farm,AquiMod,06/02/1962,18.702,
Castle Farm,AquiMod,07/02/1962,18.7361,
Castle Farm,AquiMod,08/02/1962,18.7692,
Castle Farm,AquiMod,09/02/1962,18.8013,
Castle Farm,AquiMod,10/02/1962,18.8323,
Castle Farm,AquiMod,11/02/1962,18.8624,
Castle Farm,AquiMod,12/02/1962,18.8914,
Castle Farm,AquiMod,13/02/1962,18.9194,
Castle Farm,AquiMod,14/02/1962,18.9465,
Castle Farm,AquiMod,15/02/1962,18.9736,
Castle Farm,AquiMod,16/02/1962,18.9998,
Castle Farm,AquiMod,17/02/1962,19.0251,
Castle Farm,AquiMod,18/02/1962,19.0494,
Castle Farm,AquiMod,19/02/1962,19.0727,
Castle Farm,AquiMod,20/02/1962,19.0952,
Castle Farm,AquiMod,21/02/1962,19.1166,
Castle Farm,AquiMod,22/02/1962,19.1372,
Castle Farm,AquiMod,23/02/1962,19.1568,
Castle Farm,AquiMod,24/02/1962,19.1755,
Castle Farm,AquiMod,25/02/1962,19.1934,
Castle Farm,AquiMod,26/02/1962,19.2103,
Castle Farm,AquiMod,27/02/1962,19.2264,
Castle Farm,AquiMod,28/02/1962,19.2415,
Castle Farm,AquiMod,01/03/1962,19.2559,
Castle Farm,AquiMod,02/03/1962,19.2694,
Castle Farm,AquiMod,03/03/1962,19.282,
Castle Farm,AquiMod,04/03/1962,19.2938,
Castle Farm,AquiMod,05/03/1962,19.3049,
Castle Farm,AquiMod,06/03/1962,19.3151,
Castle Farm,AquiMod,07/03/1962,19.3245,
Castle Farm,AquiMod,08/03/1962,19.3332,
Castle Farm,AquiMod,09/03/1962,19.3411,
Castle Farm,AquiMod,10/03/1962,19.3492,
Castle Farm,AquiMod,11/03/1962,19.3567,
Castle Farm,AquiMod,12/03/1962,19.3632,
Castle Farm,AquiMod,13/03/1962,19.369,
Castle Farm,AquiMod,14/03/1962,19.3741,
Castle Farm,AquiMod,15/03/1962,19.3786,
Castle Farm,AquiMod,16/03/1962,19.3823,
Castle Farm,AquiMod,17/03/1962,19.3854,
Castle Farm,AquiMod,18/03/1962,19.3878,
Castle Farm,AquiMod,19/03/1962,19.3896,
Castle Farm,AquiMod,20/03/1962,19.3908,
Castle Farm,AquiMod,21/03/1962,19.3913,
Castle Farm,AquiMod,22/03/1962,19.3912,
Castle Farm,AquiMod,23/03/1962,19.3905,
Castle Farm,AquiMod,24/03/1962,19.3892,
Castle Farm,AquiMod,25/03/1962,19.3873,
Castle Farm,AquiMod,26/03/1962,19.3848,
Castle Farm,AquiMod,27/03/1962,19.3818,
Castle Farm,AquiMod,28/03/1962,19.3782,
Castle Farm,AquiMod,29/03/1962,19.3741,
Castle Farm,AquiMod,30/03/1962,19.3695,
Castle Farm,AquiMod,31/03/1962,19.3643,
Castle Farm,AquiMod,01/04/1962,19.3586,
Castle Farm,AquiMod,02/04/1962,19.3524,
Castle Farm,AquiMod,03/04/1962,19.3457,
Castle Farm,AquiMod,04/04/1962,19.3432,
Castle Farm,AquiMod,05/04/1962,19.3402,
Castle Farm,AquiMod,06/04/1962,19.3369,
Castle Farm,AquiMod,07/04/1962,19.3333,
Castle Farm,AquiMod,08/04/1962,19.3294,
Castle Farm,AquiMod,09/04/1962,19.3249,
Castle Farm,AquiMod,10/04/1962,19.3201,
Castle Farm,AquiMod,11/04/1962,19.3148,
Castle Farm,AquiMod,12/04/1962,19.3091,
Castle Farm,AquiMod,13/04/1962,19.3029,
Castle Farm,AquiMod,14/04/1962,19.2963,
Castle Farm,AquiMod,15/04/1962,19.2892,
Castle Farm,AquiMod,16/04/1962,19.2813,
Castle Farm,AquiMod,17/04/1962,19.2722,
