Borehole,Model,Date,Sim,Obs
Chilgrove House,AquiMod,01/01/1962,48.9556,
Chilgrove House,AquiMod,02/01/1962,49.4549,
Chilgrove House,AquiMod,03/01/1962,49.9058,
Chilgrove House,AquiMod,04/01/1962,50.3261,
Chilgrove House,AquiMod,05/01/1962,50.6909,
Chilgrove House,AquiMod,06/01/1962,50.9941,
Chilgrove House,AquiMod,07/01/1962,51.2387,
Chilgrove House,AquiMod,08/01/1962,51.4395,
Chilgrove House,AquiMod,09/01/1962,51.7473,
Chilgrove House,AquiMod,10/01/1962,52.3195,
Chilgrove House,AquiMod,11/01/1962,53.0252,
Chilgrove House,AquiMod,12/01/1962,53.7582,
Chilgrove House,AquiMod,13/01/1962,54.4556,47.73
Chilgrove House,AquiMod,14/01/1962,55.0865,48.318571428571424
Chilgrove House,AquiMod,15/01/1962,55.696,48.90714285714286
Chilgrove House,AquiMod,16/01/1962,56.2372,49.495714285714286
Chilgrove House,AquiMod,17/01/1962,56.737,50.08428571428571
Chilgrove House,AquiMod,18/01/1962,57.2315,50.67285714285714
Chilgrove House,AquiMod,19/01/1962,57.6665,51.261428571428574
Chilgrove House,AquiMod,20/01/1962,58.1301,51.85
Chilgrove House,AquiMod,21/01/1962,58.7578,53.19
Chilgrove House,AquiMod,22/01/1962,59.3673,54.53
Chilgrove House,AquiMod,23/01/1962,60.0982,55.870000000000005
Chilgrove House,AquiMod,24/01/1962,60.8253,57.21
Chilgrove House,AquiMod,25/01/1962,61.4731,57.230000000000004
Chilgrove House,AquiMod,26/01/1962,62.0429,57.25
Chilgrove House,AquiMod,27/01/1962,62.5438,57.27
Chilgrove House,AquiMod,28/01/1962,62.9427,57.49
Chilgrove House,AquiMod,29/01/1962,63.235,57.71
Chilgrove House,AquiMod,30/01/1962,63.4567,57.93
Chilgrove House,AquiMod,31/01/1962,63.6652,58.150000000000006
Chilgrove House,AquiMod,01/02/1962,63.8061,58.370000000000005
Chilgrove House,AquiMod,02/02/1962,63.8743,58.59
Chilgrove House,AquiMod,03/02/1962,63.8714,58.81
Chilgrove House,AquiMod,04/02/1962,63.809,59.03
Chilgrove House,AquiMod,05/02/1962,63.6934,59.25
