Borehole,Model,Date,Sim,Obs
Compton House,AquiMod,01/01/1962,40.2768,
Compton House,AquiMod,02/01/1962,40.5059,
Compton House,AquiMod,03/01/1962,40.7075,
Compton House,AquiMod,04/01/1962,40.9261,
Compton House,AquiMod,05/01/1962,41.1226,
Compton House,AquiMod,06/01/1962,41.2935,
Compton House,AquiMod,07/01/1962,41.4442,
Compton House,AquiMod,08/01/1962,41.5792,
Compton House,AquiMod,09/01/1962,41.8136,
Compton House,AquiMod,10/01/1962,42.228,
Compton House,AquiMod,11/01/1962,42.701,
Compton House,AquiMod,12/01/1962,43.1521,
Compton House,AquiMod,13/01/1962,43.5603,
Compton House,AquiMod,14/01/1962,43.9257,
Compton House,AquiMod,15/01/1962,44.2882,
Compton House,AquiMod,16/01/1962,44.6176,
Compton House,AquiMod,17/01/1962,44.933,
Compton House,AquiMod,18/01/1962,45.2651,
Compton House,AquiMod,19/01/1962,45.635,
Compton House,AquiMod,20/01/1962,46.1997,
Compton House,AquiMod,21/01/1962,46.9635,
Compton House,AquiMod,22/01/1962,47.655,
Compton House,AquiMod,23/01/1962,48.4439,
Compton House,AquiMod,24/01/1962,49.1694,45.23
Compton House,AquiMod,25/01/1962,49.8057,45.300714285714285
Compton House,AquiMod,26/01/1962,50.372,45.37142857142857
Compton House,AquiMod,27/01/1962,50.9046,45.442142857142855
Compton House,AquiMod,28/01/1962,51.3578,45.51285714285714
Compton House,AquiMod,29/01/1962,51.7331,45.583571428571425
Compton House,AquiMod,30/01/1962,52.0536,45.65428571428571
Compton House,AquiMod,31/01/1962,52.382,45.724999999999994
Compton House,AquiMod,01/02/1962,52.6447,45.79571428571428
Compton House,AquiMod,02/02/1962,52.8447,45.86642857142857
Compton House,AquiMod,03/02/1962,52.986,45.93714285714285
Compton House,AquiMod,04/02/1962,53.0809,46.00785714285714
Compton House,AquiMod,05/02/1962,53.1288,46.07857142857143
Compton House,AquiMod,06/02/1962,53.1839,46.14928571428571
Compton House,AquiMod,07/02/1962,53.2191,46.22
Compton House,AquiMod,08/02/1962,53.2151,46.29071428571429
Compton House,AquiMod,09/02/1962,53.1749,46.36142857142857
Compton House,AquiMod,10/02/1962,53.1021,46.43214285714286
Compton House,AquiMod,11/02/1962,52.9999,46.502857142857145
Compton House,AquiMod,12/02/1962,52.9709,46.57357142857143
Compton House,AquiMod,13/02/1962,52.9133,46.644285714285715
Compton House,AquiMod,14/02/1962,52.8278,46.715
Compton House,AquiMod,15/02/1962,52.7166,46.785714285714285
Compton House,AquiMod,16/02/1962,52.582,46.85642857142857
Compton House,AquiMod,17/02/1962,52.4265,46.927142857142854
Compton House,AquiMod,18/02/1962,52.2524,46.99785714285714
Compton House,AquiMod,19/02/1962,52.0585,47.06857142857143
Compton House,AquiMod,20/02/1962,51.848,47.13928571428571
Compton House,AquiMod,21/02/1962,51.6256,47.21
Compton House,AquiMod,22/02/1962,51.3928,47.06857142857143
Compton House,AquiMod,23/02/1962,51.1512,46.927142857142854
Compton House,AquiMod,24/02/1962,50.902,46.785714285714285
Compton House,AquiMod,25/02/1962,50.6455,46.644285714285715
Compton House,AquiMod,26/02/1962,50.3836,46.502857142857145
Compton House,AquiMod,27/02/1962,50.1174,46.361428571428576
Compton House,AquiMod,28/02/1962,49.8476,46.22
Compton House,AquiMod,01/03/1962,49.5748,46.07857142857143
Compton House,AquiMod,02/03/1962,49.2973,45.93714285714286
Compton House,AquiMod,03/03/1962,49.0142,45.79571428571428
Compton House,AquiMod,04/03/1962,48.7287,45.65428571428571
Compton House,AquiMod,05/03/1962,48.4429,45.51285714285714
Compton House,AquiMod,06/03/1962,48.1574,45.371428571428574
Compton House,AquiMod,07/03/1962,47.8725,45.230000000000004
Compton House,AquiMod,08/03/1962,47.5875,45.08857142857143
Compton House,AquiMod,09/03/1962,47.3031,44.94714285714286
Compton House,AquiMod,10/03/1962,47.0262,44.80571428571429
Compton House,AquiMod,11/03/1962,46.749,44.66428571428571
Compton House,AquiMod,12/03/1962,46.4724,44.52285714285714
Compton House,AquiMod,13/03/1962,46.1945,44.38142857142857
Compton House,AquiMod,14/03/1962,45.9142,44.24
Compton House,AquiMod,15/03/1962,45.6351,44.09857142857143
Compton House,AquiMod,16/03/1962,45.3844,43.957142857142856
Compton House,AquiMod,17/03/1962,45.2025,43.815714285714286
Compton House,AquiMod,18/03/1962,45.0221,43.674285714285716
Compton House,AquiMod,19/03/1962,44.8432,43.53285714285714
Compton House,AquiMod,20/03/1962,44.6655,43.39142857142857
Compton House,AquiMod,21/03/1962,44.4895,43.25
Compton House,AquiMod,22/03/1962,44.3153,43.119285714285716
Compton House,AquiMod,23/03/1962,44.1426,42.988571428571426
Compton House,AquiMod,24/03/1962,43.971,42.85785714285714
Compton House,AquiMod,25/03/1962,43.8012,42.72714285714286
Compton House,AquiMod,26/03/1962,43.6333,42.596428571428575
Compton House,AquiMod,27/03/1962,43.4673,42.465714285714284
Compton House,AquiMod,28/03/1962,43.3526,42.335
Compton House,AquiMod,29/03/1962,43.2382,42.20428571428572
Compton House,AquiMod,30/03/1962,43.1269,42.07357142857143
Compton House,AquiMod,31/03/1962,43.0141,41.94285714285714
Compton House,AquiMod,01/04/1962,42.8997,41.81214285714286
Compton House,AquiMod,02/04/1962,42.8451,41.681428571428576
Compton House,AquiMod,03/04/1962,42.8116,41.550714285714285
Compton House,AquiMod,04/04/1962,42.868,41.42
Compton House,AquiMod,05/04/1962,42.9231,41.28928571428572
Compton House,AquiMod,06/04/1962,42.9661,41.15857142857143
Compton House,AquiMod,07/04/1962,43.031,41.027857142857144
Compton House,AquiMod,08/04/1962,43.1159,40.89714285714286
Compton House,AquiMod,09/04/1962,43.1854,40.76642857142858
Compton House,AquiMod,10/04/1962,43.2391,40.635714285714286
Compton House,AquiMod,11/04/1962,43.2774,40.505
Compton House,AquiMod,12/04/1962,43.301,40.37428571428572
Compton House,AquiMod,13/04/1962,43.3108,40.24357142857143
Compton House,AquiMod,14/04/1962,43.3075,40.112857142857145
Compton House,AquiMod,15/04/1962,43.2922,39.98214285714286
Compton House,AquiMod,16/04/1962,43.2657,39.85142857142858
Compton House,AquiMod,17/04/1962,43.2288,39.72071428571429
Compton House,AquiMod,18/04/1962,43.1825,39.59
Compton House,AquiMod,19/04/1962,43.1276,39.550000000000004
Compton House,AquiMod,20/04/1962,43.0647,39.510000000000005
Compton House,AquiMod,21/04/1962,42.9946,39.470000000000006
Compton House,AquiMod,22/04/1962,42.918,39.43
Compton House,AquiMod,23/04/1962,42.8356,39.39
Compton House,AquiMod,24/04/1962,42.7478,39.35
Compton House,AquiMod,25/04/1962,42.6553,39.31
Compton House,AquiMod,26/04/1962,42.5585,39.27
Compton House,AquiMod,27/04/1962,42.458,39.230000000000004
Compton House,AquiMod,28/04/1962,42.3541,39.190000000000005
Compton House,AquiMod,29/04/1962,42.2473,39.15
Compton House,AquiMod,30/04/1962,42.1379,39.11
Compton House,AquiMod,01/05/1962,42.0262,39.07
Compton House,AquiMod,02/05/1962,41.9126,39.03
Compton House,AquiMod,03/05/1962,41.7973,38.99
Compton House,AquiMod,04/05/1962,41.6807,38.95
Compton House,AquiMod,05/05/1962,41.5629,38.910000000000004
Compton House,AquiMod,06/05/1962,41.4443,38.87
Compton House,AquiMod,07/05/1962,41.3249,38.83
Compton House,AquiMod,08/05/1962,41.205,38.79
Compton House,AquiMod,09/05/1962,41.0847,38.75
Compton House,AquiMod,10/05/1962,40.9641,38.71
Compton House,AquiMod,11/05/1962,40.8435,38.67
Compton House,AquiMod,12/05/1962,40.7229,38.63
Compton House,AquiMod,13/05/1962,40.6025,38.589999999999996
Compton House,AquiMod,14/05/1962,40.4823,38.55
Compton House,AquiMod,15/05/1962,40.3624,38.51
