Borehole,Model,Date,Sim,Obs
Gibbet Cottages,AquiMod,01/01/1962,114.821,
Gibbet Cottages,AquiMod,02/01/1962,114.878,
Gibbet Cottages,AquiMod,03/01/1962,114.934,
Gibbet Cottages,AquiMod,04/01/1962,114.997,
Gibbet Cottages,AquiMod,05/01/1962,115.092,
Gibbet Cottages,AquiMod,06/01/1962,115.204,
Gibbet Cottages,AquiMod,07/01/1962,115.32,
Gibbet Cottages,AquiMod,08/01/1962,115.449,
Gibbet Cottages,AquiMod,09/01/1962,115.597,
Gibbet Cottages,AquiMod,10/01/1962,115.774,
Gibbet Cottages,AquiMod,11/01/1962,115.979,
Gibbet Cottages,AquiMod,12/01/1962,116.188,
Gibbet Cottages,AquiMod,13/01/1962,116.398,
Gibbet Cottages,AquiMod,14/01/1962,116.608,
Gibbet Cottages,AquiMod,15/01/1962,116.827,
Gibbet Cottages,AquiMod,16/01/1962,117.052,
Gibbet Cottages,AquiMod,17/01/1962,117.281,
Gibbet Cottages,AquiMod,18/01/1962,117.517,
Gibbet Cottages,AquiMod,19/01/1962,117.754,
Gibbet Cottages,AquiMod,20/01/1962,117.999,
Gibbet Cottages,AquiMod,21/01/1962,118.283,
Gibbet Cottages,AquiMod,22/01/1962,118.569,
Gibbet Cottages,AquiMod,23/01/1962,118.861,
Gibbet Cottages,AquiMod,24/01/1962,119.156,
Gibbet Cottages,AquiMod,25/01/1962,119.446,
Gibbet Cottages,AquiMod,26/01/1962,119.735,
Gibbet Cottages,AquiMod,27/01/1962,120.02,
Gibbet Cottages,AquiMod,28/01/1962,120.296,
Gibbet Cottages,AquiMod,29/01/1962,120.565,
Gibbet Cottages,AquiMod,30/01/1962,120.825,
Gibbet Cottages,AquiMod,31/01/1962,121.094,
Gibbet Cottages,AquiMod,01/02/1962,121.358,
Gibbet Cottages,AquiMod,02/02/1962,121.613,
Gibbet Cottages,AquiMod,03/02/1962,121.858,
Gibbet Cottages,AquiMod,04/02/1962,122.095,
Gibbet Cottages,AquiMod,05/02/1962,122.322,
Gibbet Cottages,AquiMod,06/02/1962,122.541,
Gibbet Cottages,AquiMod,07/02/1962,122.75,
Gibbet Cottages,AquiMod,08/02/1962,122.95,
Gibbet Cottages,AquiMod,09/02/1962,123.139,
Gibbet Cottages,AquiMod,10/02/1962,123.318,
Gibbet Cottages,AquiMod,11/02/1962,123.486,
Gibbet Cottages,AquiMod,12/02/1962,123.645,
Gibbet Cottages,AquiMod,13/02/1962,123.793,
Gibbet Cottages,AquiMod,14/02/1962,123.932,
Gibbet Cottages,AquiMod,15/02/1962,124.061,
Gibbet Cottages,AquiMod,16/02/1962,124.181,
Gibbet Cottages,AquiMod,17/02/1962,124.291,
Gibbet Cottages,AquiMod,18/02/1962,124.392,
Gibbet Cottages,AquiMod,19/02/1962,124.484,
Gibbet Cottages,AquiMod,20/02/1962,124.568,
Gibbet Cottages,AquiMod,21/02/1962,124.643,
Gibbet Cottages,AquiMod,22/02/1962,124.711,
