Borehole,Model,Date,Sim,Obs
Kingston Hill Farm,AquiMod,01/01/1962,133.054,
Kingston Hill Farm,AquiMod,02/01/1962,133.051,
Kingston Hill Farm,AquiMod,03/01/1962,133.044,
Kingston Hill Farm,AquiMod,04/01/1962,133.035,
Kingston Hill Farm,AquiMod,05/01/1962,133.134,
Kingston Hill Farm,AquiMod,06/01/1962,133.439,
Kingston Hill Farm,AquiMod,07/01/1962,133.869,
Kingston Hill Farm,AquiMod,08/01/1962,134.325,
Kingston Hill Farm,AquiMod,09/01/1962,134.848,
Kingston Hill Farm,AquiMod,10/01/1962,135.462,
Kingston Hill Farm,AquiMod,11/01/1962,136.115,
Kingston Hill Farm,AquiMod,12/01/1962,136.706,
Kingston Hill Farm,AquiMod,13/01/1962,137.233,
Kingston Hill Farm,AquiMod,14/01/1962,137.698,
Kingston Hill Farm,AquiMod,15/01/1962,138.167,
Kingston Hill Farm,AquiMod,16/01/1962,138.625,
Kingston Hill Farm,AquiMod,17/01/1962,139.02,
Kingston Hill Farm,AquiMod,18/01/1962,139.406,
Kingston Hill Farm,AquiMod,19/01/1962,139.732,
Kingston Hill Farm,AquiMod,20/01/1962,140.058,
Kingston Hill Farm,AquiMod,21/01/1962,140.521,
Kingston Hill Farm,AquiMod,22/01/1962,140.914,
Kingston Hill Farm,AquiMod,23/01/1962,141.271,
Kingston Hill Farm,AquiMod,24/01/1962,141.59,
Kingston Hill Farm,AquiMod,25/01/1962,141.839,
Kingston Hill Farm,AquiMod,26/01/1962,142.044,
Kingston Hill Farm,AquiMod,27/01/1962,142.196,
Kingston Hill Farm,AquiMod,28/01/1962,142.294,
Kingston Hill Farm,AquiMod,29/01/1962,142.346,
Kingston Hill Farm,AquiMod,30/01/1962,142.375,
Kingston Hill Farm,AquiMod,31/01/1962,142.435,
Kingston Hill Farm,AquiMod,01/02/1962,142.456,
Kingston Hill Farm,AquiMod,02/02/1962,142.444,
Kingston Hill Farm,AquiMod,03/02/1962,142.4,
Kingston Hill Farm,AquiMod,04/02/1962,142.336,
Kingston Hill Farm,AquiMod,05/02/1962,142.248,
Kingston Hill Farm,AquiMod,06/02/1962,142.142,
Kingston Hill Farm,AquiMod,07/02/1962,142.03,
Kingston Hill Farm,AquiMod,08/02/1962,141.904,
Kingston Hill Farm,AquiMod,09/02/1962,141.767,
Kingston Hill Farm,AquiMod,10/02/1962,141.62,
Kingston Hill Farm,AquiMod,11/02/1962,141.466,
Kingston Hill Farm,AquiMod,12/02/1962,141.32,
Kingston Hill Farm,AquiMod,13/02/1962,141.167,
Kingston Hill Farm,AquiMod,14/02/1962,141.011,
Kingston Hill Farm,AquiMod,15/02/1962,140.851,
Kingston Hill Farm,AquiMod,16/02/1962,140.688,
Kingston Hill Farm,AquiMod,17/02/1962,140.525,
Kingston Hill Farm,AquiMod,18/02/1962,140.36,
Kingston Hill Farm,AquiMod,19/02/1962,140.196,
Kingston Hill Farm,AquiMod,20/02/1962,140.032,
Kingston Hill Farm,AquiMod,21/02/1962,139.87,
Kingston Hill Farm,AquiMod,22/02/1962,139.708,
Kingston Hill Farm,AquiMod,23/02/1962,139.549,
Kingston Hill Farm,AquiMod,24/02/1962,139.391,
Kingston Hill Farm,AquiMod,25/02/1962,139.236,
Kingston Hill Farm,AquiMod,26/02/1962,139.082,
Kingston Hill Farm,AquiMod,27/02/1962,138.932,
Kingston Hill Farm,AquiMod,28/02/1962,138.784,
Kingston Hill Farm,AquiMod,01/03/1962,138.638,
Kingston Hill Farm,AquiMod,02/03/1962,138.493,
Kingston Hill Farm,AquiMod,03/03/1962,138.347,
Kingston Hill Farm,AquiMod,04/03/1962,138.204,
Kingston Hill Farm,AquiMod,05/03/1962,138.064,
Kingston Hill Farm,AquiMod,06/03/1962,137.925,
Kingston Hill Farm,AquiMod,07/03/1962,137.789,
Kingston Hill Farm,AquiMod,08/03/1962,137.654,
Kingston Hill Farm,AquiMod,09/03/1962,137.523,
Kingston Hill Farm,AquiMod,10/03/1962,137.396,
Kingston Hill Farm,AquiMod,11/03/1962,137.272,
Kingston Hill Farm,AquiMod,12/03/1962,137.15,
Kingston Hill Farm,AquiMod,13/03/1962,137.03,
Kingston Hill Farm,AquiMod,14/03/1962,136.913,
Kingston Hill Farm,AquiMod,15/03/1962,136.799,
Kingston Hill Farm,AquiMod,16/03/1962,136.687,
Kingston Hill Farm,AquiMod,17/03/1962,136.577,
Kingston Hill Farm,AquiMod,18/03/1962,136.467,
Kingston Hill Farm,AquiMod,19/03/1962,136.36,
Kingston Hill Farm,AquiMod,20/03/1962,136.255,
Kingston Hill Farm,AquiMod,21/03/1962,136.152,
Kingston Hill Farm,AquiMod,22/03/1962,136.052,
Kingston Hill Farm,AquiMod,23/03/1962,135.953,
Kingston Hill Farm,AquiMod,24/03/1962,135.857,
Kingston Hill Farm,AquiMod,25/03/1962,135.763,
Kingston Hill Farm,AquiMod,26/03/1962,135.671,
Kingston Hill Farm,AquiMod,27/03/1962,135.58,
Kingston Hill Farm,AquiMod,28/03/1962,135.491,
Kingston Hill Farm,AquiMod,29/03/1962,135.403,
Kingston Hill Farm,AquiMod,30/03/1962,135.317,
Kingston Hill Farm,AquiMod,31/03/1962,135.232,
Kingston Hill Farm,AquiMod,01/04/1962,135.149,
Kingston Hill Farm,AquiMod,02/04/1962,135.067,
Kingston Hill Farm,AquiMod,03/04/1962,134.987,
Kingston Hill Farm,AquiMod,04/04/1962,134.908,
Kingston Hill Farm,AquiMod,05/04/1962,134.83,
Kingston Hill Farm,AquiMod,06/04/1962,134.753,
Kingston Hill Farm,AquiMod,07/04/1962,134.677,
Kingston Hill Farm,AquiMod,08/04/1962,134.655,
Kingston Hill Farm,AquiMod,09/04/1962,134.632,
Kingston Hill Farm,AquiMod,10/04/1962,134.608,
Kingston Hill Farm,AquiMod,11/04/1962,134.58,
Kingston Hill Farm,AquiMod,12/04/1962,134.55,
Kingston Hill Farm,AquiMod,13/04/1962,134.517,
Kingston Hill Farm,AquiMod,14/04/1962,134.481,
Kingston Hill Farm,AquiMod,15/04/1962,134.444,
Kingston Hill Farm,AquiMod,16/04/1962,134.404,
Kingston Hill Farm,AquiMod,17/04/1962,134.363,
Kingston Hill Farm,AquiMod,18/04/1962,134.32,
Kingston Hill Farm,AquiMod,19/04/1962,134.275,
Kingston Hill Farm,AquiMod,20/04/1962,134.228,
Kingston Hill Farm,AquiMod,21/04/1962,134.181,
Kingston Hill Farm,AquiMod,22/04/1962,134.132,
Kingston Hill Farm,AquiMod,23/04/1962,134.082,
Kingston Hill Farm,AquiMod,24/04/1962,134.031,
Kingston Hill Farm,AquiMod,25/04/1962,133.979,
Kingston Hill Farm,AquiMod,26/04/1962,133.926,
Kingston Hill Farm,AquiMod,27/04/1962,133.872,
Kingston Hill Farm,AquiMod,28/04/1962,133.818,
Kingston Hill Farm,AquiMod,29/04/1962,133.762,
Kingston Hill Farm,AquiMod,30/04/1962,133.707,
Kingston Hill Farm,AquiMod,01/05/1962,133.65,
Kingston Hill Farm,AquiMod,02/05/1962,133.593,
Kingston Hill Farm,AquiMod,03/05/1962,133.536,
Kingston Hill Farm,AquiMod,04/05/1962,133.478,
Kingston Hill Farm,AquiMod,05/05/1962,133.433,
Kingston Hill Farm,AquiMod,06/05/1962,133.391,
Kingston Hill Farm,AquiMod,07/05/1962,133.349,
Kingston Hill Farm,AquiMod,08/05/1962,133.307,
Kingston Hill Farm,AquiMod,09/05/1962,133.264,
Kingston Hill Farm,AquiMod,10/05/1962,133.221,
Kingston Hill Farm,AquiMod,11/05/1962,133.178,
Kingston Hill Farm,AquiMod,12/05/1962,133.135,
Kingston Hill Farm,AquiMod,13/05/1962,133.092,
Kingston Hill Farm,AquiMod,14/05/1962,133.049,
Kingston Hill Farm,AquiMod,15/05/1962,133.005,
Kingston Hill Farm,AquiMod,16/05/1962,132.962,
Kingston Hill Farm,AquiMod,17/05/1962,132.918,
Kingston Hill Farm,AquiMod,18/05/1962,132.875,
Kingston Hill Farm,AquiMod,19/05/1962,132.831,
Kingston Hill Farm,AquiMod,20/05/1962,132.787,
Kingston Hill Farm,AquiMod,21/05/1962,132.744,
Kingston Hill Farm,AquiMod,22/05/1962,132.7,
Kingston Hill Farm,AquiMod,23/05/1962,132.656,
Kingston Hill Farm,AquiMod,24/05/1962,132.612,
Kingston Hill Farm,AquiMod,25/05/1962,132.568,
Kingston Hill Farm,AquiMod,26/05/1962,132.525,
Kingston Hill Farm,AquiMod,27/05/1962,132.481,
Kingston Hill Farm,AquiMod,28/05/1962,132.437,
Kingston Hill Farm,AquiMod,29/05/1962,132.394,
Kingston Hill Farm,AquiMod,30/05/1962,132.35,
Kingston Hill Farm,AquiMod,31/05/1962,132.307,
Kingston Hill Farm,AquiMod,01/06/1962,132.263,
Kingston Hill Farm,AquiMod,02/06/1962,132.22,
Kingston Hill Farm,AquiMod,03/06/1962,132.176,
Kingston Hill Farm,AquiMod,04/06/1962,132.132,
Kingston Hill Farm,AquiMod,05/06/1962,132.088,
Kingston Hill Farm,AquiMod,06/06/1962,132.044,
Kingston Hill Farm,AquiMod,07/06/1962,132.001,
Kingston Hill Farm,AquiMod,08/06/1962,131.957,
Kingston Hill Farm,AquiMod,09/06/1962,131.914,
Kingston Hill Farm,AquiMod,10/06/1962,131.871,
Kingston Hill Farm,AquiMod,11/06/1962,131.828,
Kingston Hill Farm,AquiMod,12/06/1962,131.785,
Kingston Hill Farm,AquiMod,13/06/1962,131.742,
Kingston Hill Farm,AquiMod,14/06/1962,131.699,
Kingston Hill Farm,AquiMod,15/06/1962,131.656,
Kingston Hill Farm,AquiMod,16/06/1962,131.614,
Kingston Hill Farm,AquiMod,17/06/1962,131.571,
Kingston Hill Farm,AquiMod,18/06/1962,131.528,
Kingston Hill Farm,AquiMod,19/06/1962,131.486,
Kingston Hill Farm,AquiMod,20/06/1962,131.444,
Kingston Hill Farm,AquiMod,21/06/1962,131.402,
Kingston Hill Farm,AquiMod,22/06/1962,131.36,
Kingston Hill Farm,AquiMod,23/06/1962,131.318,
Kingston Hill Farm,AquiMod,24/06/1962,131.276,
Kingston Hill Farm,AquiMod,25/06/1962,131.234,
Kingston Hill Farm,AquiMod,26/06/1962,131.192,
Kingston Hill Farm,AquiMod,27/06/1962,131.15,
Kingston Hill Farm,AquiMod,28/06/1962,131.109,
Kingston Hill Farm,AquiMod,29/06/1962,131.068,
Kingston Hill Farm,AquiMod,30/06/1962,131.026,
Kingston Hill Farm,AquiMod,01/07/1962,130.985,
Kingston Hill Farm,AquiMod,02/07/1962,130.944,
Kingston Hill Farm,AquiMod,03/07/1962,130.903,
Kingston Hill Farm,AquiMod,04/07/1962,130.862,
Kingston Hill Farm,AquiMod,05/07/1962,130.821,
Kingston Hill Farm,AquiMod,06/07/1962,130.78,
Kingston Hill Farm,AquiMod,07/07/1962,130.739,
Kingston Hill Farm,AquiMod,08/07/1962,130.699,
Kingston Hill Farm,AquiMod,09/07/1962,130.658,
Kingston Hill Farm,AquiMod,10/07/1962,130.618,
Kingston Hill Farm,AquiMod,11/07/1962,130.577,
Kingston Hill Farm,AquiMod,12/07/1962,130.537,
Kingston Hill Farm,AquiMod,13/07/1962,130.497,
Kingston Hill Farm,AquiMod,14/07/1962,130.457,
Kingston Hill Farm,AquiMod,15/07/1962,130.417,
Kingston Hill Farm,AquiMod,16/07/1962,130.377,
Kingston Hill Farm,AquiMod,17/07/1962,130.337,
Kingston Hill Farm,AquiMod,18/07/1962,130.297,
Kingston Hill Farm,AquiMod,19/07/1962,130.257,
Kingston Hill Farm,AquiMod,20/07/1962,130.218,
Kingston Hill Farm,AquiMod,21/07/1962,130.178,
Kingston Hill Farm,AquiMod,22/07/1962,130.139,
Kingston Hill Farm,AquiMod,23/07/1962,130.1,
Kingston Hill Farm,AquiMod,24/07/1962,130.06,
Kingston Hill Farm,AquiMod,25/07/1962,130.021,
Kingston Hill Farm,AquiMod,26/07/1962,129.982,
Kingston Hill Farm,AquiMod,27/07/1962,129.943,
Kingston Hill Farm,AquiMod,28/07/1962,129.904,
Kingston Hill Farm,AquiMod,29/07/1962,129.865,
Kingston Hill Farm,AquiMod,30/07/1962,129.827,
Kingston Hill Farm,AquiMod,31/07/1962,129.788,
