Borehole,Model,Date,Sim,Obs
Llanfair,AquiMod,01/01/1962,79.7607,
Llanfair,AquiMod,02/01/1962,79.7561,
Llanfair,AquiMod,03/01/1962,79.7516,
Llanfair,AquiMod,04/01/1962,79.7471,
Llanfair,AquiMod,05/01/1962,79.7977,
Llanfair,AquiMod,06/01/1962,79.7992,
Llanfair,AquiMod,07/01/1962,79.7965,
Llanfair,AquiMod,08/01/1962,79.8233,
Llanfair,AquiMod,09/01/1962,79.8398,
Llanfair,AquiMod,10/01/1962,79.8818,
Llanfair,AquiMod,11/01/1962,79.8974,
Llanfair,AquiMod,12/01/1962,79.902,
Llanfair,AquiMod,13/01/1962,79.8984,
Llanfair,AquiMod,14/01/1962,79.8948,
Llanfair,AquiMod,15/01/1962,79.918,
Llanfair,AquiMod,16/01/1962,79.9402,
Llanfair,AquiMod,17/01/1962,79.9461,
Llanfair,AquiMod,18/01/1962,79.9533,
Llanfair,AquiMod,19/01/1962,79.9496,
Llanfair,AquiMod,20/01/1962,79.9725,
Llanfair,AquiMod,21/01/1962,79.9875,
Llanfair,AquiMod,22/01/1962,79.9838,
Llanfair,AquiMod,23/01/1962,79.9855,
Llanfair,AquiMod,24/01/1962,79.9925,
Llanfair,AquiMod,25/01/1962,79.9888,
Llanfair,AquiMod,26/01/1962,79.9851,
Llanfair,AquiMod,27/01/1962,79.9814,
Llanfair,AquiMod,28/01/1962,79.9777,
Llanfair,AquiMod,29/01/1962,79.974,
Llanfair,AquiMod,30/01/1962,79.9703,
Llanfair,AquiMod,31/01/1962,79.9695,
Llanfair,AquiMod,01/02/1962,79.9715,
Llanfair,AquiMod,02/02/1962,79.9707,
Llanfair,AquiMod,03/02/1962,79.967,
Llanfair,AquiMod,04/02/1962,79.9796,
Llanfair,AquiMod,05/02/1962,79.9759,
Llanfair,AquiMod,06/02/1962,79.978,
Llanfair,AquiMod,07/02/1962,79.9869,
Llanfair,AquiMod,08/02/1962,79.9832,
Llanfair,AquiMod,09/02/1962,79.9795,
Llanfair,AquiMod,10/02/1962,79.9758,
Llanfair,AquiMod,11/02/1962,79.9721,
Llanfair,AquiMod,12/02/1962,80.0043,
Llanfair,AquiMod,13/02/1962,80.0006,
Llanfair,AquiMod,14/02/1962,79.9968,
Llanfair,AquiMod,15/02/1962,79.9931,
Llanfair,AquiMod,16/02/1962,79.9894,
Llanfair,AquiMod,17/02/1962,79.9857,
Llanfair,AquiMod,18/02/1962,79.982,
Llanfair,AquiMod,19/02/1962,79.9783,
Llanfair,AquiMod,20/02/1962,79.9746,
Llanfair,AquiMod,21/02/1962,79.9709,
Llanfair,AquiMod,22/02/1962,79.9672,
Llanfair,AquiMod,23/02/1962,79.9635,
Llanfair,AquiMod,24/02/1962,79.9598,
Llanfair,AquiMod,25/02/1962,79.9562,
Llanfair,AquiMod,26/02/1962,79.9525,
Llanfair,AquiMod,27/02/1962,79.9488,
Llanfair,AquiMod,28/02/1962,79.9451,
Llanfair,AquiMod,01/03/1962,79.9415,
Llanfair,AquiMod,02/03/1962,79.9378,
Llanfair,AquiMod,03/03/1962,79.9342,
Llanfair,AquiMod,04/03/1962,79.9305,
Llanfair,AquiMod,05/03/1962,79.9269,
Llanfair,AquiMod,06/03/1962,79.9232,
Llanfair,AquiMod,07/03/1962,79.9196,
Llanfair,AquiMod,08/03/1962,79.9159,
Llanfair,AquiMod,09/03/1962,79.9123,
Llanfair,AquiMod,10/03/1962,79.9087,
Llanfair,AquiMod,11/03/1962,79.9051,
Llanfair,AquiMod,12/03/1962,79.9014,
Llanfair,AquiMod,13/03/1962,79.8978,
Llanfair,AquiMod,14/03/1962,79.8942,
