Borehole,Model,Date,Sim,Obs
Lower Barn Cottage,AquiMod,01/01/1962,11.0377,
Lower Barn Cottage,AquiMod,02/01/1962,11.0347,
Lower Barn Cottage,AquiMod,03/01/1962,11.0317,
Lower Barn Cottage,AquiMod,04/01/1962,11.0303,
Lower Barn Cottage,AquiMod,05/01/1962,11.0279,
Lower Barn Cottage,AquiMod,06/01/1962,11.0254,
Lower Barn Cottage,AquiMod,07/01/1962,11.0225,
Lower Barn Cottage,AquiMod,08/01/1962,11.0205,
Lower Barn Cottage,AquiMod,09/01/1962,11.0616,
Lower Barn Cottage,AquiMod,10/01/1962,11.1391,
Lower Barn Cottage,AquiMod,11/01/1962,11.1623,
Lower Barn Cottage,AquiMod,12/01/1962,11.163,
Lower Barn Cottage,AquiMod,13/01/1962,11.1596,
Lower Barn Cottage,AquiMod,14/01/1962,11.1562,
Lower Barn Cottage,AquiMod,15/01/1962,11.1696,
Lower Barn Cottage,AquiMod,16/01/1962,11.1712,
Lower Barn Cottage,AquiMod,17/01/1962,11.1793,
Lower Barn Cottage,AquiMod,18/01/1962,11.2026,
Lower Barn Cottage,AquiMod,19/01/1962,11.2024,
Lower Barn Cottage,AquiMod,20/01/1962,11.2317,
Lower Barn Cottage,AquiMod,21/01/1962,11.2838,
Lower Barn Cottage,AquiMod,22/01/1962,11.28,
Lower Barn Cottage,AquiMod,23/01/1962,11.3041,
Lower Barn Cottage,AquiMod,24/01/1962,11.309,
Lower Barn Cottage,AquiMod,25/01/1962,11.3051,
Lower Barn Cottage,AquiMod,26/01/1962,11.3108,
Lower Barn Cottage,AquiMod,27/01/1962,11.3073,
Lower Barn Cottage,AquiMod,28/01/1962,11.3034,
Lower Barn Cottage,AquiMod,29/01/1962,11.2996,
Lower Barn Cottage,AquiMod,30/01/1962,11.2957,
Lower Barn Cottage,AquiMod,31/01/1962,11.2949,
Lower Barn Cottage,AquiMod,01/02/1962,11.291,
Lower Barn Cottage,AquiMod,02/02/1962,11.2872,
Lower Barn Cottage,AquiMod,03/02/1962,11.2835,
Lower Barn Cottage,AquiMod,04/02/1962,11.2797,
Lower Barn Cottage,AquiMod,05/02/1962,11.2759,
Lower Barn Cottage,AquiMod,06/02/1962,11.2722,
Lower Barn Cottage,AquiMod,07/02/1962,11.2688,
Lower Barn Cottage,AquiMod,08/02/1962,11.2651,
Lower Barn Cottage,AquiMod,09/02/1962,11.2613,
Lower Barn Cottage,AquiMod,10/02/1962,11.2576,
Lower Barn Cottage,AquiMod,11/02/1962,11.254,
Lower Barn Cottage,AquiMod,12/02/1962,11.2609,
Lower Barn Cottage,AquiMod,13/02/1962,11.2572,
Lower Barn Cottage,AquiMod,14/02/1962,11.2535,
Lower Barn Cottage,AquiMod,15/02/1962,11.2499,
Lower Barn Cottage,AquiMod,16/02/1962,11.2462,
Lower Barn Cottage,AquiMod,17/02/1962,11.2426,
Lower Barn Cottage,AquiMod,18/02/1962,11.2389,
Lower Barn Cottage,AquiMod,19/02/1962,11.2353,
Lower Barn Cottage,AquiMod,20/02/1962,11.2317,
Lower Barn Cottage,AquiMod,21/02/1962,11.2281,
Lower Barn Cottage,AquiMod,22/02/1962,11.2245,
Lower Barn Cottage,AquiMod,23/02/1962,11.2209,
Lower Barn Cottage,AquiMod,24/02/1962,11.2174,
Lower Barn Cottage,AquiMod,25/02/1962,11.2138,
Lower Barn Cottage,AquiMod,26/02/1962,11.2103,
Lower Barn Cottage,AquiMod,27/02/1962,11.2068,
Lower Barn Cottage,AquiMod,28/02/1962,11.2032,
Lower Barn Cottage,AquiMod,01/03/1962,11.1997,
Lower Barn Cottage,AquiMod,02/03/1962,11.1962,
Lower Barn Cottage,AquiMod,03/03/1962,11.1928,
Lower Barn Cottage,AquiMod,04/03/1962,11.1893,
Lower Barn Cottage,AquiMod,05/03/1962,11.1858,
Lower Barn Cottage,AquiMod,06/03/1962,11.1824,
Lower Barn Cottage,AquiMod,07/03/1962,11.179,
Lower Barn Cottage,AquiMod,08/03/1962,11.1755,
Lower Barn Cottage,AquiMod,09/03/1962,11.1721,
Lower Barn Cottage,AquiMod,10/03/1962,11.1826,
Lower Barn Cottage,AquiMod,11/03/1962,11.1791,
Lower Barn Cottage,AquiMod,12/03/1962,11.1757,
Lower Barn Cottage,AquiMod,13/03/1962,11.1723,
Lower Barn Cottage,AquiMod,14/03/1962,11.1689,
Lower Barn Cottage,AquiMod,15/03/1962,11.1655,
Lower Barn Cottage,AquiMod,16/03/1962,11.1621,
Lower Barn Cottage,AquiMod,17/03/1962,11.1587,
Lower Barn Cottage,AquiMod,18/03/1962,11.1554,
Lower Barn Cottage,AquiMod,19/03/1962,11.152,
Lower Barn Cottage,AquiMod,20/03/1962,11.1487,
Lower Barn Cottage,AquiMod,21/03/1962,11.1454,
Lower Barn Cottage,AquiMod,22/03/1962,11.142,
Lower Barn Cottage,AquiMod,23/03/1962,11.1387,
Lower Barn Cottage,AquiMod,24/03/1962,11.1354,
Lower Barn Cottage,AquiMod,25/03/1962,11.1321,
Lower Barn Cottage,AquiMod,26/03/1962,11.1289,
Lower Barn Cottage,AquiMod,27/03/1962,11.1256,
Lower Barn Cottage,AquiMod,28/03/1962,11.1223,
Lower Barn Cottage,AquiMod,29/03/1962,11.1191,
