Borehole,Model,Date,Sim,Obs
New Red Lion,AquiMod,01/01/1962,13.9315,
New Red Lion,AquiMod,02/01/1962,13.9649,
New Red Lion,AquiMod,03/01/1962,13.9956,
New Red Lion,AquiMod,04/01/1962,14.0272,
New Red Lion,AquiMod,05/01/1962,14.1156,
New Red Lion,AquiMod,06/01/1962,14.2507,
New Red Lion,AquiMod,07/01/1962,14.3849,
New Red Lion,AquiMod,08/01/1962,14.52,
New Red Lion,AquiMod,09/01/1962,14.6609,
New Red Lion,AquiMod,10/01/1962,14.8024,
New Red Lion,AquiMod,11/01/1962,14.9434,
New Red Lion,AquiMod,12/01/1962,15.0776,
New Red Lion,AquiMod,13/01/1962,15.205,
New Red Lion,AquiMod,14/01/1962,15.326,
New Red Lion,AquiMod,15/01/1962,15.444,
New Red Lion,AquiMod,16/01/1962,15.5557,
New Red Lion,AquiMod,17/01/1962,15.6612,
New Red Lion,AquiMod,18/01/1962,15.7715,
New Red Lion,AquiMod,19/01/1962,15.8756,
New Red Lion,AquiMod,20/01/1962,15.9813,
New Red Lion,AquiMod,21/01/1962,16.1004,
New Red Lion,AquiMod,22/01/1962,16.2127,
New Red Lion,AquiMod,23/01/1962,16.3245,
New Red Lion,AquiMod,24/01/1962,16.4295,
New Red Lion,AquiMod,25/01/1962,16.5281,
New Red Lion,AquiMod,26/01/1962,16.6204,
New Red Lion,AquiMod,27/01/1962,16.7066,
New Red Lion,AquiMod,28/01/1962,16.7869,
New Red Lion,AquiMod,29/01/1962,16.8615,
New Red Lion,AquiMod,30/01/1962,16.9306,
New Red Lion,AquiMod,31/01/1962,17.0163,
New Red Lion,AquiMod,01/02/1962,17.0962,
New Red Lion,AquiMod,02/02/1962,17.1728,
New Red Lion,AquiMod,03/02/1962,17.2436,
New Red Lion,AquiMod,04/02/1962,17.3107,
New Red Lion,AquiMod,05/02/1962,17.3723,
New Red Lion,AquiMod,06/02/1962,17.4286,
New Red Lion,AquiMod,07/02/1962,17.4801,
New Red Lion,AquiMod,08/02/1962,17.5267,
New Red Lion,AquiMod,09/02/1962,17.5685,
New Red Lion,AquiMod,10/02/1962,17.6058,
New Red Lion,AquiMod,11/02/1962,17.6386,
New Red Lion,AquiMod,12/02/1962,17.6673,
New Red Lion,AquiMod,13/02/1962,17.6918,
New Red Lion,AquiMod,14/02/1962,17.7125,
New Red Lion,AquiMod,15/02/1962,17.7295,
New Red Lion,AquiMod,16/02/1962,17.7428,
New Red Lion,AquiMod,17/02/1962,17.7527,
New Red Lion,AquiMod,18/02/1962,17.7594,
New Red Lion,AquiMod,19/02/1962,17.7628,
New Red Lion,AquiMod,20/02/1962,17.7633,
New Red Lion,AquiMod,21/02/1962,17.7607,
New Red Lion,AquiMod,22/02/1962,17.7555,
New Red Lion,AquiMod,23/02/1962,17.7475,
New Red Lion,AquiMod,24/02/1962,17.7371,
New Red Lion,AquiMod,25/02/1962,17.7243,
New Red Lion,AquiMod,26/02/1962,17.7092,
New Red Lion,AquiMod,27/02/1962,17.6919,
New Red Lion,AquiMod,28/02/1962,17.6726,
New Red Lion,AquiMod,01/03/1962,17.6512,
New Red Lion,AquiMod,02/03/1962,17.628,
New Red Lion,AquiMod,03/03/1962,17.603,
New Red Lion,AquiMod,04/03/1962,17.5763,
New Red Lion,AquiMod,05/03/1962,17.5476,
New Red Lion,AquiMod,06/03/1962,17.5173,
New Red Lion,AquiMod,07/03/1962,17.4848,
New Red Lion,AquiMod,08/03/1962,17.451,
New Red Lion,AquiMod,09/03/1962,17.4157,
New Red Lion,AquiMod,10/03/1962,17.3792,
New Red Lion,AquiMod,11/03/1962,17.3416,
New Red Lion,AquiMod,12/03/1962,17.3029,
New Red Lion,AquiMod,13/03/1962,17.2633,
New Red Lion,AquiMod,14/03/1962,17.2226,
New Red Lion,AquiMod,15/03/1962,17.1811,
New Red Lion,AquiMod,16/03/1962,17.1388,
New Red Lion,AquiMod,17/03/1962,17.0957,
New Red Lion,AquiMod,18/03/1962,17.0518,
New Red Lion,AquiMod,19/03/1962,17.0073,
New Red Lion,AquiMod,20/03/1962,16.9617,
New Red Lion,AquiMod,21/03/1962,16.9155,
New Red Lion,AquiMod,22/03/1962,16.8687,
New Red Lion,AquiMod,23/03/1962,16.8214,
New Red Lion,AquiMod,24/03/1962,16.7708,
New Red Lion,AquiMod,25/03/1962,16.7195,
New Red Lion,AquiMod,26/03/1962,16.6678,
New Red Lion,AquiMod,27/03/1962,16.6158,
New Red Lion,AquiMod,28/03/1962,16.5637,
New Red Lion,AquiMod,29/03/1962,16.5113,
New Red Lion,AquiMod,30/03/1962,16.4587,
New Red Lion,AquiMod,31/03/1962,16.406,
New Red Lion,AquiMod,01/04/1962,16.3532,
New Red Lion,AquiMod,02/04/1962,16.3002,
New Red Lion,AquiMod,03/04/1962,16.2471,
New Red Lion,AquiMod,04/04/1962,16.194,
New Red Lion,AquiMod,05/04/1962,16.1408,
New Red Lion,AquiMod,06/04/1962,16.0875,
New Red Lion,AquiMod,07/04/1962,16.0342,
New Red Lion,AquiMod,08/04/1962,15.9809,
New Red Lion,AquiMod,09/04/1962,15.9276,
New Red Lion,AquiMod,10/04/1962,15.8742,
New Red Lion,AquiMod,11/04/1962,15.8209,
New Red Lion,AquiMod,12/04/1962,15.7677,
New Red Lion,AquiMod,13/04/1962,15.7141,
New Red Lion,AquiMod,14/04/1962,15.659,
New Red Lion,AquiMod,15/04/1962,15.6039,
New Red Lion,AquiMod,16/04/1962,15.5484,
New Red Lion,AquiMod,17/04/1962,15.4926,
New Red Lion,AquiMod,18/04/1962,15.437,
New Red Lion,AquiMod,19/04/1962,15.3815,
New Red Lion,AquiMod,20/04/1962,15.3263,
New Red Lion,AquiMod,21/04/1962,15.2874,
New Red Lion,AquiMod,22/04/1962,15.2477,
New Red Lion,AquiMod,23/04/1962,15.2071,
New Red Lion,AquiMod,24/04/1962,15.1658,
New Red Lion,AquiMod,25/04/1962,15.1241,
New Red Lion,AquiMod,26/04/1962,15.0821,
New Red Lion,AquiMod,27/04/1962,15.0399,
