Borehole,Model,Date,Sim,Obs
No 8 Hackpen Cottages,AquiMod,01/01/1962,155.659,
No 8 Hackpen Cottages,AquiMod,02/01/1962,155.764,
No 8 Hackpen Cottages,AquiMod,03/01/1962,155.837,
No 8 Hackpen Cottages,AquiMod,04/01/1962,155.938,
No 8 Hackpen Cottages,AquiMod,05/01/1962,156.288,
No 8 Hackpen Cottages,AquiMod,06/01/1962,156.622,
No 8 Hackpen Cottages,AquiMod,07/01/1962,156.878,
No 8 Hackpen Cottages,AquiMod,08/01/1962,157.138,
No 8 Hackpen Cottages,AquiMod,09/01/1962,157.496,
No 8 Hackpen Cottages,AquiMod,10/01/1962,157.985,
No 8 Hackpen Cottages,AquiMod,11/01/1962,158.527,
No 8 Hackpen Cottages,AquiMod,12/01/1962,158.94,
No 8 Hackpen Cottages,AquiMod,13/01/1962,159.249,
No 8 Hackpen Cottages,AquiMod,14/01/1962,159.475,
No 8 Hackpen Cottages,AquiMod,15/01/1962,159.761,
No 8 Hackpen Cottages,AquiMod,16/01/1962,160.0,
No 8 Hackpen Cottages,AquiMod,17/01/1962,160.165,
No 8 Hackpen Cottages,AquiMod,18/01/1962,160.377,
No 8 Hackpen Cottages,AquiMod,19/01/1962,160.538,
No 8 Hackpen Cottages,AquiMod,20/01/1962,160.721,
No 8 Hackpen Cottages,AquiMod,21/01/1962,161.149,
No 8 Hackpen Cottages,AquiMod,22/01/1962,161.479,
No 8 Hackpen Cottages,AquiMod,23/01/1962,161.785,
No 8 Hackpen Cottages,AquiMod,24/01/1962,162.036,
No 8 Hackpen Cottages,AquiMod,25/01/1962,162.203,
No 8 Hackpen Cottages,AquiMod,26/01/1962,162.329,
No 8 Hackpen Cottages,AquiMod,27/01/1962,162.435,
No 8 Hackpen Cottages,AquiMod,28/01/1962,162.484,
No 8 Hackpen Cottages,AquiMod,29/01/1962,162.488,
No 8 Hackpen Cottages,AquiMod,30/01/1962,162.457,
No 8 Hackpen Cottages,AquiMod,31/01/1962,162.526,
No 8 Hackpen Cottages,AquiMod,01/02/1962,162.546,
No 8 Hackpen Cottages,AquiMod,02/02/1962,162.527,
No 8 Hackpen Cottages,AquiMod,03/02/1962,162.478,
No 8 Hackpen Cottages,AquiMod,04/02/1962,162.405,
No 8 Hackpen Cottages,AquiMod,05/02/1962,162.313,
No 8 Hackpen Cottages,AquiMod,06/02/1962,162.244,
No 8 Hackpen Cottages,AquiMod,07/02/1962,162.161,
No 8 Hackpen Cottages,AquiMod,08/02/1962,162.062,
No 8 Hackpen Cottages,AquiMod,09/02/1962,161.952,
No 8 Hackpen Cottages,AquiMod,10/02/1962,161.832,
No 8 Hackpen Cottages,AquiMod,11/02/1962,161.705,
No 8 Hackpen Cottages,AquiMod,12/02/1962,161.638,
No 8 Hackpen Cottages,AquiMod,13/02/1962,161.554,
No 8 Hackpen Cottages,AquiMod,14/02/1962,161.458,
No 8 Hackpen Cottages,AquiMod,15/02/1962,161.351,
No 8 Hackpen Cottages,AquiMod,16/02/1962,161.236,
No 8 Hackpen Cottages,AquiMod,17/02/1962,161.116,
No 8 Hackpen Cottages,AquiMod,18/02/1962,160.992,
No 8 Hackpen Cottages,AquiMod,19/02/1962,160.866,
No 8 Hackpen Cottages,AquiMod,20/02/1962,160.739,
No 8 Hackpen Cottages,AquiMod,21/02/1962,160.612,
No 8 Hackpen Cottages,AquiMod,22/02/1962,160.485,
