Borehole,Model,Date,Sim,Obs
Rockley,AquiMod,01/01/1962,134.591,137.47
Rockley,AquiMod,02/01/1962,134.66,137.956
Rockley,AquiMod,03/01/1962,134.725,138.442
Rockley,AquiMod,04/01/1962,134.803,138.928
Rockley,AquiMod,05/01/1962,134.928,139.41400000000002
Rockley,AquiMod,06/01/1962,135.062,139.9
Rockley,AquiMod,07/01/1962,135.195,140.0742857142857
Rockley,AquiMod,08/01/1962,135.338,140.24857142857144
Rockley,AquiMod,09/01/1962,135.507,140.42285714285714
Rockley,AquiMod,10/01/1962,135.72,140.59714285714287
Rockley,AquiMod,11/01/1962,135.969,140.77142857142857
Rockley,AquiMod,12/01/1962,136.218,140.9457142857143
Rockley,AquiMod,13/01/1962,136.46,141.12
Rockley,AquiMod,14/01/1962,136.693,141.12
Rockley,AquiMod,15/01/1962,136.936,141.12
Rockley,AquiMod,16/01/1962,137.18,141.12
Rockley,AquiMod,17/01/1962,137.412,141.12
Rockley,AquiMod,18/01/1962,137.656,141.12
Rockley,AquiMod,19/01/1962,137.892,141.12
Rockley,AquiMod,20/01/1962,138.132,141.12
Rockley,AquiMod,21/01/1962,138.416,141.1642857142857
Rockley,AquiMod,22/01/1962,138.693,141.20857142857145
Rockley,AquiMod,23/01/1962,138.971,141.25285714285715
Rockley,AquiMod,24/01/1962,139.246,141.29714285714286
Rockley,AquiMod,25/01/1962,139.504,141.34142857142857
Rockley,AquiMod,26/01/1962,139.751,141.3857142857143
Rockley,AquiMod,27/01/1962,139.992,141.43
Rockley,AquiMod,28/01/1962,140.218,141.34285714285716
Rockley,AquiMod,29/01/1962,140.425,141.25571428571428
Rockley,AquiMod,30/01/1962,140.613,141.16857142857143
Rockley,AquiMod,31/01/1962,140.808,141.08142857142857
Rockley,AquiMod,01/02/1962,140.988,140.99428571428572
Rockley,AquiMod,02/02/1962,141.151,140.90714285714284
Rockley,AquiMod,03/02/1962,141.295,140.82
Rockley,AquiMod,04/02/1962,141.423,140.73285714285714
Rockley,AquiMod,05/02/1962,141.533,140.6457142857143
Rockley,AquiMod,06/02/1962,141.637,140.55857142857144
Rockley,AquiMod,07/02/1962,141.727,140.47142857142856
Rockley,AquiMod,08/02/1962,141.801,140.3842857142857
Rockley,AquiMod,09/02/1962,141.861,140.29714285714286
Rockley,AquiMod,10/02/1962,141.906,140.21
Rockley,AquiMod,11/02/1962,141.937,140.12285714285716
Rockley,AquiMod,12/02/1962,141.965,140.03571428571428
Rockley,AquiMod,13/02/1962,141.981,139.94857142857143
Rockley,AquiMod,14/02/1962,141.985,139.86142857142858
Rockley,AquiMod,15/02/1962,141.979,139.77428571428572
Rockley,AquiMod,16/02/1962,141.963,139.68714285714285
Rockley,AquiMod,17/02/1962,141.936,139.6
Rockley,AquiMod,18/02/1962,141.901,139.46857142857144
Rockley,AquiMod,19/02/1962,141.857,139.33714285714285
Rockley,AquiMod,20/02/1962,141.805,139.2057142857143
Rockley,AquiMod,21/02/1962,141.745,139.0742857142857
Rockley,AquiMod,22/02/1962,141.679,138.94285714285715
Rockley,AquiMod,23/02/1962,141.606,138.81142857142856
Rockley,AquiMod,24/02/1962,141.528,138.68
Rockley,AquiMod,25/02/1962,141.444,138.61
Rockley,AquiMod,26/02/1962,141.356,138.54
Rockley,AquiMod,27/02/1962,141.264,138.47
Rockley,AquiMod,28/02/1962,141.166,138.4
Rockley,AquiMod,01/03/1962,141.065,138.33
Rockley,AquiMod,02/03/1962,140.961,138.26
Rockley,AquiMod,03/03/1962,140.855,138.19
Rockley,AquiMod,04/03/1962,140.747,138.14714285714285
Rockley,AquiMod,05/03/1962,140.637,138.1042857142857
Rockley,AquiMod,06/03/1962,140.525,138.06142857142856
Rockley,AquiMod,07/03/1962,140.411,138.01857142857142
Rockley,AquiMod,08/03/1962,140.295,137.97571428571428
Rockley,AquiMod,09/03/1962,140.179,137.93285714285713
Rockley,AquiMod,10/03/1962,140.062,137.89
Rockley,AquiMod,11/03/1962,139.944,137.78571428571428
Rockley,AquiMod,12/03/1962,139.825,137.68142857142857
