Borehole,Model,Date,Sim,Obs
Royalty Observatory,AquiMod,01/01/1962,44.2105,
Royalty Observatory,AquiMod,02/01/1962,44.2059,
Royalty Observatory,AquiMod,03/01/1962,44.2013,
Royalty Observatory,AquiMod,04/01/1962,44.1968,
Royalty Observatory,AquiMod,05/01/1962,44.1922,
Royalty Observatory,AquiMod,06/01/1962,44.1877,
Royalty Observatory,AquiMod,07/01/1962,44.1832,
Royalty Observatory,AquiMod,08/01/1962,44.1787,
Royalty Observatory,AquiMod,09/01/1962,44.1743,
Royalty Observatory,AquiMod,10/01/1962,44.1698,
Royalty Observatory,AquiMod,11/01/1962,44.1654,
Royalty Observatory,AquiMod,12/01/1962,44.161,
Royalty Observatory,AquiMod,13/01/1962,44.1566,
Royalty Observatory,AquiMod,14/01/1962,44.1522,
Royalty Observatory,AquiMod,15/01/1962,44.1479,
Royalty Observatory,AquiMod,16/01/1962,44.1436,
Royalty Observatory,AquiMod,17/01/1962,44.1393,
Royalty Observatory,AquiMod,18/01/1962,44.135,
Royalty Observatory,AquiMod,19/01/1962,44.1307,
Royalty Observatory,AquiMod,20/01/1962,44.1264,
Royalty Observatory,AquiMod,21/01/1962,44.1222,
Royalty Observatory,AquiMod,22/01/1962,44.118,
Royalty Observatory,AquiMod,23/01/1962,44.1138,
Royalty Observatory,AquiMod,24/01/1962,44.1096,
Royalty Observatory,AquiMod,25/01/1962,44.1054,
Royalty Observatory,AquiMod,26/01/1962,44.1012,
Royalty Observatory,AquiMod,27/01/1962,44.0971,
Royalty Observatory,AquiMod,28/01/1962,44.093,
Royalty Observatory,AquiMod,29/01/1962,44.0889,
Royalty Observatory,AquiMod,30/01/1962,44.0848,
Royalty Observatory,AquiMod,31/01/1962,44.0807,
Royalty Observatory,AquiMod,01/02/1962,44.0767,
Royalty Observatory,AquiMod,02/02/1962,44.0726,
Royalty Observatory,AquiMod,03/02/1962,44.0686,
Royalty Observatory,AquiMod,04/02/1962,44.0646,
Royalty Observatory,AquiMod,05/02/1962,44.0606,
Royalty Observatory,AquiMod,06/02/1962,44.0567,
Royalty Observatory,AquiMod,07/02/1962,44.0527,
Royalty Observatory,AquiMod,08/02/1962,44.0488,
Royalty Observatory,AquiMod,09/02/1962,44.0448,
Royalty Observatory,AquiMod,10/02/1962,44.0409,
Royalty Observatory,AquiMod,11/02/1962,44.037,
Royalty Observatory,AquiMod,12/02/1962,44.0331,
Royalty Observatory,AquiMod,13/02/1962,44.0293,
Royalty Observatory,AquiMod,14/02/1962,44.0254,
Royalty Observatory,AquiMod,15/02/1962,44.0216,
Royalty Observatory,AquiMod,16/02/1962,44.0178,
Royalty Observatory,AquiMod,17/02/1962,44.014,
Royalty Observatory,AquiMod,18/02/1962,44.0102,
Royalty Observatory,AquiMod,19/02/1962,44.0064,
Royalty Observatory,AquiMod,20/02/1962,44.0026,
Royalty Observatory,AquiMod,21/02/1962,43.9989,
Royalty Observatory,AquiMod,22/02/1962,43.9952,
Royalty Observatory,AquiMod,23/02/1962,43.9915,
Royalty Observatory,AquiMod,24/02/1962,43.9877,
Royalty Observatory,AquiMod,25/02/1962,43.9841,
Royalty Observatory,AquiMod,26/02/1962,43.9804,
Royalty Observatory,AquiMod,27/02/1962,43.9767,
Royalty Observatory,AquiMod,28/02/1962,43.9731,
Royalty Observatory,AquiMod,01/03/1962,43.9694,
Royalty Observatory,AquiMod,02/03/1962,43.9658,
Royalty Observatory,AquiMod,03/03/1962,43.9622,
Royalty Observatory,AquiMod,04/03/1962,43.9586,
Royalty Observatory,AquiMod,05/03/1962,43.955,
Royalty Observatory,AquiMod,06/03/1962,43.9515,
Royalty Observatory,AquiMod,07/03/1962,43.9479,
Royalty Observatory,AquiMod,08/03/1962,43.9444,
Royalty Observatory,AquiMod,09/03/1962,43.9408,
Royalty Observatory,AquiMod,10/03/1962,43.9373,
Royalty Observatory,AquiMod,11/03/1962,43.9338,
Royalty Observatory,AquiMod,12/03/1962,43.9303,
Royalty Observatory,AquiMod,13/03/1962,43.9269,
Royalty Observatory,AquiMod,14/03/1962,43.9234,
Royalty Observatory,AquiMod,15/03/1962,43.9199,
Royalty Observatory,AquiMod,16/03/1962,43.9165,
Royalty Observatory,AquiMod,17/03/1962,43.9131,
Royalty Observatory,AquiMod,18/03/1962,43.9097,
Royalty Observatory,AquiMod,19/03/1962,43.9063,
Royalty Observatory,AquiMod,20/03/1962,43.9029,
Royalty Observatory,AquiMod,21/03/1962,43.8995,
Royalty Observatory,AquiMod,22/03/1962,43.8961,
Royalty Observatory,AquiMod,23/03/1962,43.8928,
Royalty Observatory,AquiMod,24/03/1962,43.8894,
Royalty Observatory,AquiMod,25/03/1962,43.8861,
Royalty Observatory,AquiMod,26/03/1962,43.8828,
Royalty Observatory,AquiMod,27/03/1962,43.8795,
