Borehole,Model,Date,Sim,Obs
Springhead Farm,AquiMod,01/01/1962,14.9381,
Springhead Farm,AquiMod,02/01/1962,14.9594,
Springhead Farm,AquiMod,03/01/1962,14.9806,
Springhead Farm,AquiMod,04/01/1962,15.0047,
Springhead Farm,AquiMod,05/01/1962,15.0306,
Springhead Farm,AquiMod,06/01/1962,15.0569,
Springhead Farm,AquiMod,07/01/1962,15.0834,
Springhead Farm,AquiMod,08/01/1962,15.1105,
Springhead Farm,AquiMod,09/01/1962,15.1409,
Springhead Farm,AquiMod,10/01/1962,15.1725,
Springhead Farm,AquiMod,11/01/1962,15.2062,
Springhead Farm,AquiMod,12/01/1962,15.2403,
Springhead Farm,AquiMod,13/01/1962,15.2744,
Springhead Farm,AquiMod,14/01/1962,15.3084,
Springhead Farm,AquiMod,15/01/1962,15.3431,
Springhead Farm,AquiMod,16/01/1962,15.3776,
Springhead Farm,AquiMod,17/01/1962,15.4121,
Springhead Farm,AquiMod,18/01/1962,15.4484,
Springhead Farm,AquiMod,19/01/1962,15.4847,
Springhead Farm,AquiMod,20/01/1962,15.5216,
Springhead Farm,AquiMod,21/01/1962,15.5615,
Springhead Farm,AquiMod,22/01/1962,15.6015,
Springhead Farm,AquiMod,23/01/1962,15.642,
Springhead Farm,AquiMod,24/01/1962,15.6829,
Springhead Farm,AquiMod,25/01/1962,15.7236,
Springhead Farm,AquiMod,26/01/1962,15.7637,
Springhead Farm,AquiMod,27/01/1962,15.8033,
Springhead Farm,AquiMod,28/01/1962,15.8422,
Springhead Farm,AquiMod,29/01/1962,15.8803,
Springhead Farm,AquiMod,30/01/1962,15.9176,
Springhead Farm,AquiMod,31/01/1962,15.9559,
Springhead Farm,AquiMod,01/02/1962,15.9936,
Springhead Farm,AquiMod,02/02/1962,16.031,
Springhead Farm,AquiMod,03/02/1962,16.0675,
Springhead Farm,AquiMod,04/02/1962,16.1034,
Springhead Farm,AquiMod,05/02/1962,16.1384,
Springhead Farm,AquiMod,06/02/1962,16.1725,
Springhead Farm,AquiMod,07/02/1962,16.2056,
Springhead Farm,AquiMod,08/02/1962,16.2378,
Springhead Farm,AquiMod,09/02/1962,16.269,
Springhead Farm,AquiMod,10/02/1962,16.2991,
Springhead Farm,AquiMod,11/02/1962,16.3281,
Springhead Farm,AquiMod,12/02/1962,16.3561,
Springhead Farm,AquiMod,13/02/1962,16.383,
Springhead Farm,AquiMod,14/02/1962,16.4088,
Springhead Farm,AquiMod,15/02/1962,16.4335,
Springhead Farm,AquiMod,16/02/1962,16.4572,
Springhead Farm,AquiMod,17/02/1962,16.4797,
Springhead Farm,AquiMod,18/02/1962,16.5012,
Springhead Farm,AquiMod,19/02/1962,16.5215,
Springhead Farm,AquiMod,20/02/1962,16.5408,
Springhead Farm,AquiMod,21/02/1962,16.5591,
Springhead Farm,AquiMod,22/02/1962,16.5763,
Springhead Farm,AquiMod,23/02/1962,16.5924,
Springhead Farm,AquiMod,24/02/1962,16.6075,
Springhead Farm,AquiMod,25/02/1962,16.6216,
Springhead Farm,AquiMod,26/02/1962,16.6347,
Springhead Farm,AquiMod,27/02/1962,16.6467,
Springhead Farm,AquiMod,28/02/1962,16.6578,
Springhead Farm,AquiMod,01/03/1962,16.6679,
Springhead Farm,AquiMod,02/03/1962,16.6771,
Springhead Farm,AquiMod,03/03/1962,16.6853,
Springhead Farm,AquiMod,04/03/1962,16.6926,
Springhead Farm,AquiMod,05/03/1962,16.699,
Springhead Farm,AquiMod,06/03/1962,16.7045,
Springhead Farm,AquiMod,07/03/1962,16.7092,
Springhead Farm,AquiMod,08/03/1962,16.7129,
Springhead Farm,AquiMod,09/03/1962,16.7159,
Springhead Farm,AquiMod,10/03/1962,16.718,
Springhead Farm,AquiMod,11/03/1962,16.7193,
Springhead Farm,AquiMod,12/03/1962,16.7198,
Springhead Farm,AquiMod,13/03/1962,16.7192,
Springhead Farm,AquiMod,14/03/1962,16.7178,
Springhead Farm,AquiMod,15/03/1962,16.7156,
Springhead Farm,AquiMod,16/03/1962,16.7128,
Springhead Farm,AquiMod,17/03/1962,16.7093,
Springhead Farm,AquiMod,18/03/1962,16.7051,
Springhead Farm,AquiMod,19/03/1962,16.7003,
Springhead Farm,AquiMod,20/03/1962,16.6948,
Springhead Farm,AquiMod,21/03/1962,16.6887,
Springhead Farm,AquiMod,22/03/1962,16.682,
Springhead Farm,AquiMod,23/03/1962,16.6747,
Springhead Farm,AquiMod,24/03/1962,16.6669,
Springhead Farm,AquiMod,25/03/1962,16.6584,
Springhead Farm,AquiMod,26/03/1962,16.6495,
Springhead Farm,AquiMod,27/03/1962,16.64,
Springhead Farm,AquiMod,28/03/1962,16.63,
Springhead Farm,AquiMod,29/03/1962,16.6195,
Springhead Farm,AquiMod,30/03/1962,16.6085,
Springhead Farm,AquiMod,31/03/1962,16.597,
Springhead Farm,AquiMod,01/04/1962,16.5851,
Springhead Farm,AquiMod,02/04/1962,16.5728,
Springhead Farm,AquiMod,03/04/1962,16.56,
Springhead Farm,AquiMod,04/04/1962,16.5468,
Springhead Farm,AquiMod,05/04/1962,16.5345,
Springhead Farm,AquiMod,06/04/1962,16.522,
Springhead Farm,AquiMod,07/04/1962,16.5094,
Springhead Farm,AquiMod,08/04/1962,16.4964,
Springhead Farm,AquiMod,09/04/1962,16.4832,
Springhead Farm,AquiMod,10/04/1962,16.4697,
Springhead Farm,AquiMod,11/04/1962,16.4558,
Springhead Farm,AquiMod,12/04/1962,16.4417,
Springhead Farm,AquiMod,13/04/1962,16.4273,
Springhead Farm,AquiMod,14/04/1962,16.4126,
Springhead Farm,AquiMod,15/04/1962,16.3976,
Springhead Farm,AquiMod,16/04/1962,16.3823,
Springhead Farm,AquiMod,17/04/1962,16.3668,
Springhead Farm,AquiMod,18/04/1962,16.351,
Springhead Farm,AquiMod,19/04/1962,16.3349,
Springhead Farm,AquiMod,20/04/1962,16.3186,
Springhead Farm,AquiMod,21/04/1962,16.302,
Springhead Farm,AquiMod,22/04/1962,16.2852,
Springhead Farm,AquiMod,23/04/1962,16.2678,
Springhead Farm,AquiMod,24/04/1962,16.2502,
Springhead Farm,AquiMod,25/04/1962,16.2323,
Springhead Farm,AquiMod,26/04/1962,16.2142,
Springhead Farm,AquiMod,27/04/1962,16.1959,
Springhead Farm,AquiMod,28/04/1962,16.1774,
Springhead Farm,AquiMod,29/04/1962,16.1587,
Springhead Farm,AquiMod,30/04/1962,16.1398,
Springhead Farm,AquiMod,01/05/1962,16.1208,
Springhead Farm,AquiMod,02/05/1962,16.1016,
Springhead Farm,AquiMod,03/05/1962,16.0823,
Springhead Farm,AquiMod,04/05/1962,16.0628,
Springhead Farm,AquiMod,05/05/1962,16.0432,
Springhead Farm,AquiMod,06/05/1962,16.0234,
Springhead Farm,AquiMod,07/05/1962,16.0035,
Springhead Farm,AquiMod,08/05/1962,15.9834,
Springhead Farm,AquiMod,09/05/1962,15.9633,
Springhead Farm,AquiMod,10/05/1962,15.9415,
