Borehole,Model,Date,Sim,Obs
Stonor Park,AquiMod,01/01/1962,74.8316,
Stonor Park,AquiMod,02/01/1962,74.8256,
Stonor Park,AquiMod,03/01/1962,74.8197,
Stonor Park,AquiMod,04/01/1962,74.8224,
Stonor Park,AquiMod,05/01/1962,74.8267,
Stonor Park,AquiMod,06/01/1962,74.8323,
Stonor Park,AquiMod,07/01/1962,74.8382,
Stonor Park,AquiMod,08/01/1962,74.8483,
Stonor Park,AquiMod,09/01/1962,74.8678,
Stonor Park,AquiMod,10/01/1962,74.9007,
Stonor Park,AquiMod,11/01/1962,74.9489,
Stonor Park,AquiMod,12/01/1962,74.9985,
Stonor Park,AquiMod,13/01/1962,75.0483,
Stonor Park,AquiMod,14/01/1962,75.098,
Stonor Park,AquiMod,15/01/1962,75.1542,
Stonor Park,AquiMod,16/01/1962,75.2175,
Stonor Park,AquiMod,17/01/1962,75.2848,
Stonor Park,AquiMod,18/01/1962,75.3571,77.03
Stonor Park,AquiMod,19/01/1962,75.4321,77.19285714285715
Stonor Park,AquiMod,20/01/1962,75.5136,77.35571428571428
Stonor Park,AquiMod,21/01/1962,75.6229,77.51857142857143
Stonor Park,AquiMod,22/01/1962,75.7334,77.68142857142857
Stonor Park,AquiMod,23/01/1962,75.8516,77.84428571428572
Stonor Park,AquiMod,24/01/1962,75.9714,78.00714285714285
Stonor Park,AquiMod,25/01/1962,76.0902,78.17
Stonor Park,AquiMod,26/01/1962,76.2088,78.33285714285715
Stonor Park,AquiMod,27/01/1962,76.3256,78.49571428571429
Stonor Park,AquiMod,28/01/1962,76.4402,78.65857142857143
Stonor Park,AquiMod,29/01/1962,76.5525,78.82142857142857
Stonor Park,AquiMod,30/01/1962,76.6623,78.98428571428572
Stonor Park,AquiMod,31/01/1962,76.7839,79.14714285714285
Stonor Park,AquiMod,01/02/1962,76.9047,79.31
Stonor Park,AquiMod,02/02/1962,77.0242,79.47285714285715
Stonor Park,AquiMod,03/02/1962,77.1413,79.63571428571429
Stonor Park,AquiMod,04/02/1962,77.2558,79.79857142857144
Stonor Park,AquiMod,05/02/1962,77.3674,79.96142857142857
Stonor Park,AquiMod,06/02/1962,77.4774,80.12428571428572
Stonor Park,AquiMod,07/02/1962,77.5862,80.28714285714285
Stonor Park,AquiMod,08/02/1962,77.692,80.45
Stonor Park,AquiMod,09/02/1962,77.7947,80.61285714285715
Stonor Park,AquiMod,10/02/1962,77.8944,80.77571428571429
Stonor Park,AquiMod,11/02/1962,77.991,80.93857142857144
Stonor Park,AquiMod,12/02/1962,78.0857,81.10142857142857
Stonor Park,AquiMod,13/02/1962,78.1773,81.26428571428572
Stonor Park,AquiMod,14/02/1962,78.2658,81.42714285714285
Stonor Park,AquiMod,15/02/1962,78.3512,81.59
Stonor Park,AquiMod,16/02/1962,78.4335,81.60035714285715
Stonor Park,AquiMod,17/02/1962,78.5128,81.6107142857143
Stonor Park,AquiMod,18/02/1962,78.589,81.62107142857143
Stonor Park,AquiMod,19/02/1962,78.6622,81.63142857142857
Stonor Park,AquiMod,20/02/1962,78.7324,81.64178571428572
Stonor Park,AquiMod,21/02/1962,78.7997,81.65214285714286
Stonor Park,AquiMod,22/02/1962,78.8641,81.6625
Stonor Park,AquiMod,23/02/1962,78.9257,81.67285714285714
Stonor Park,AquiMod,24/02/1962,78.9844,81.68321428571429
Stonor Park,AquiMod,25/02/1962,79.0404,81.69357142857143
Stonor Park,AquiMod,26/02/1962,79.0936,81.70392857142858
Stonor Park,AquiMod,27/02/1962,79.1442,81.71428571428571
Stonor Park,AquiMod,28/02/1962,79.1922,81.72464285714285
Stonor Park,AquiMod,01/03/1962,79.2376,81.735
Stonor Park,AquiMod,02/03/1962,79.2805,81.74535714285715
Stonor Park,AquiMod,03/03/1962,79.3209,81.75571428571429
Stonor Park,AquiMod,04/03/1962,79.3589,81.76607142857142
Stonor Park,AquiMod,05/03/1962,79.3946,81.77642857142857
Stonor Park,AquiMod,06/03/1962,79.4279,81.78678571428571
Stonor Park,AquiMod,07/03/1962,79.459,81.79714285714286
Stonor Park,AquiMod,08/03/1962,79.4879,81.8075
Stonor Park,AquiMod,09/03/1962,79.5146,81.81785714285714
Stonor Park,AquiMod,10/03/1962,79.5392,81.82821428571428
Stonor Park,AquiMod,11/03/1962,79.5618,81.83857142857143
Stonor Park,AquiMod,12/03/1962,79.5824,81.84892857142857
Stonor Park,AquiMod,13/03/1962,79.601,81.8592857142857
Stonor Park,AquiMod,14/03/1962,79.6177,81.86964285714285
Stonor Park,AquiMod,15/03/1962,79.6326,81.88
Stonor Park,AquiMod,16/03/1962,79.6456,81.85071428571428
Stonor Park,AquiMod,17/03/1962,79.6569,81.82142857142857
Stonor Park,AquiMod,18/03/1962,79.6665,81.79214285714285
Stonor Park,AquiMod,19/03/1962,79.6744,81.76285714285714
Stonor Park,AquiMod,20/03/1962,79.6806,81.73357142857142
Stonor Park,AquiMod,21/03/1962,79.6853,81.70428571428572
Stonor Park,AquiMod,22/03/1962,79.6885,81.675
Stonor Park,AquiMod,23/03/1962,79.6902,81.64571428571428
Stonor Park,AquiMod,24/03/1962,79.6904,81.61642857142857
Stonor Park,AquiMod,25/03/1962,79.6892,81.58714285714285
Stonor Park,AquiMod,26/03/1962,79.6866,81.55785714285715
Stonor Park,AquiMod,27/03/1962,79.6827,81.52857142857142
Stonor Park,AquiMod,28/03/1962,79.6775,81.49928571428572
Stonor Park,AquiMod,29/03/1962,79.6711,81.47
Stonor Park,AquiMod,30/03/1962,79.6635,81.44071428571428
Stonor Park,AquiMod,31/03/1962,79.6546,81.41142857142857
Stonor Park,AquiMod,01/04/1962,79.6447,81.38214285714285
Stonor Park,AquiMod,02/04/1962,79.6352,81.35285714285715
Stonor Park,AquiMod,03/04/1962,79.6275,81.32357142857143
Stonor Park,AquiMod,04/04/1962,79.6299,81.29428571428572
Stonor Park,AquiMod,05/04/1962,79.6322,81.265
Stonor Park,AquiMod,06/04/1962,79.6339,81.23571428571428
Stonor Park,AquiMod,07/04/1962,79.6348,81.20642857142857
Stonor Park,AquiMod,08/04/1962,79.6396,81.17714285714285
Stonor Park,AquiMod,09/04/1962,79.6438,81.14785714285715
Stonor Park,AquiMod,10/04/1962,79.6472,81.11857142857143
