Borehole,Model,Date,Sim,Obs
Tank Hall,AquiMod,01/01/1962,30.7706,
Tank Hall,AquiMod,02/01/1962,30.7966,
Tank Hall,AquiMod,03/01/1962,30.8217,
Tank Hall,AquiMod,04/01/1962,30.8537,
Tank Hall,AquiMod,05/01/1962,30.8864,
Tank Hall,AquiMod,06/01/1962,30.918,
Tank Hall,AquiMod,07/01/1962,30.9486,
Tank Hall,AquiMod,08/01/1962,30.9798,
Tank Hall,AquiMod,09/01/1962,31.0168,
Tank Hall,AquiMod,10/01/1962,31.0546,
Tank Hall,AquiMod,11/01/1962,31.0954,
Tank Hall,AquiMod,12/01/1962,31.135,
Tank Hall,AquiMod,13/01/1962,31.1734,
Tank Hall,AquiMod,14/01/1962,31.2105,
Tank Hall,AquiMod,15/01/1962,31.2478,
Tank Hall,AquiMod,16/01/1962,31.2839,
Tank Hall,AquiMod,17/01/1962,31.3189,
Tank Hall,AquiMod,18/01/1962,31.3556,
Tank Hall,AquiMod,19/01/1962,31.3916,
Tank Hall,AquiMod,20/01/1962,31.4286,
Tank Hall,AquiMod,21/01/1962,31.4723,
Tank Hall,AquiMod,22/01/1962,31.5147,
Tank Hall,AquiMod,23/01/1962,31.5566,
Tank Hall,AquiMod,24/01/1962,31.5986,
Tank Hall,AquiMod,25/01/1962,31.6393,
Tank Hall,AquiMod,26/01/1962,31.6787,
Tank Hall,AquiMod,27/01/1962,31.7168,
Tank Hall,AquiMod,28/01/1962,31.7535,
Tank Hall,AquiMod,29/01/1962,31.789,
Tank Hall,AquiMod,30/01/1962,31.8232,
Tank Hall,AquiMod,31/01/1962,31.8613,
Tank Hall,AquiMod,01/02/1962,31.8981,
Tank Hall,AquiMod,02/02/1962,31.9337,
Tank Hall,AquiMod,03/02/1962,31.9679,
Tank Hall,AquiMod,04/02/1962,32.0014,
Tank Hall,AquiMod,05/02/1962,32.0337,
Tank Hall,AquiMod,06/02/1962,32.0648,
Tank Hall,AquiMod,07/02/1962,32.0954,
Tank Hall,AquiMod,08/02/1962,32.1249,
Tank Hall,AquiMod,09/02/1962,32.1531,
Tank Hall,AquiMod,10/02/1962,32.1802,
Tank Hall,AquiMod,11/02/1962,32.2061,
Tank Hall,AquiMod,12/02/1962,32.2309,
Tank Hall,AquiMod,13/02/1962,32.2546,
Tank Hall,AquiMod,14/02/1962,32.2772,
Tank Hall,AquiMod,15/02/1962,32.2987,
Tank Hall,AquiMod,16/02/1962,32.3192,
Tank Hall,AquiMod,17/02/1962,32.3387,
Tank Hall,AquiMod,18/02/1962,32.3572,
Tank Hall,AquiMod,19/02/1962,32.3747,
Tank Hall,AquiMod,20/02/1962,32.3912,
Tank Hall,AquiMod,21/02/1962,32.4068,
Tank Hall,AquiMod,22/02/1962,32.4214,
Tank Hall,AquiMod,23/02/1962,32.4352,
Tank Hall,AquiMod,24/02/1962,32.448,
Tank Hall,AquiMod,25/02/1962,32.46,
Tank Hall,AquiMod,26/02/1962,32.4711,
Tank Hall,AquiMod,27/02/1962,32.4814,
Tank Hall,AquiMod,28/02/1962,32.4909,
