Borehole,Model,Date,Sim,Obs
The Arms,AquiMod,01/01/1962,25.5771,
The Arms,AquiMod,02/01/1962,25.599,
The Arms,AquiMod,03/01/1962,25.6204,
The Arms,AquiMod,04/01/1962,25.6424,
The Arms,AquiMod,05/01/1962,25.6643,
The Arms,AquiMod,06/01/1962,25.6856,
The Arms,AquiMod,07/01/1962,25.7063,
The Arms,AquiMod,08/01/1962,25.7273,
The Arms,AquiMod,09/01/1962,25.75,
The Arms,AquiMod,10/01/1962,25.7738,
The Arms,AquiMod,11/01/1962,25.7987,
The Arms,AquiMod,12/01/1962,25.8231,
The Arms,AquiMod,13/01/1962,25.8471,
The Arms,AquiMod,14/01/1962,25.8704,
The Arms,AquiMod,15/01/1962,25.8935,
The Arms,AquiMod,16/01/1962,25.9159,
The Arms,AquiMod,17/01/1962,25.9378,
The Arms,AquiMod,18/01/1962,25.96,
The Arms,AquiMod,19/01/1962,25.9816,
The Arms,AquiMod,20/01/1962,26.0034,
The Arms,AquiMod,21/01/1962,26.0269,
The Arms,AquiMod,22/01/1962,26.0498,
The Arms,AquiMod,23/01/1962,26.0727,
The Arms,AquiMod,24/01/1962,26.0951,
The Arms,AquiMod,25/01/1962,26.117,
The Arms,AquiMod,26/01/1962,26.1382,
The Arms,AquiMod,27/01/1962,26.1587,
The Arms,AquiMod,28/01/1962,26.1785,
The Arms,AquiMod,29/01/1962,26.1976,
The Arms,AquiMod,30/01/1962,26.2159,
The Arms,AquiMod,31/01/1962,26.2367,
The Arms,AquiMod,01/02/1962,26.2571,
The Arms,AquiMod,02/02/1962,26.2769,
The Arms,AquiMod,03/02/1962,26.2962,
The Arms,AquiMod,04/02/1962,26.3154,
The Arms,AquiMod,05/02/1962,26.3341,
The Arms,AquiMod,06/02/1962,26.3521,
The Arms,AquiMod,07/02/1962,26.3698,
The Arms,AquiMod,08/02/1962,26.3869,
The Arms,AquiMod,09/02/1962,26.4033,
The Arms,AquiMod,10/02/1962,26.419,
The Arms,AquiMod,11/02/1962,26.434,
The Arms,AquiMod,12/02/1962,26.4487,
The Arms,AquiMod,13/02/1962,26.4628,
The Arms,AquiMod,14/02/1962,26.4762,
The Arms,AquiMod,15/02/1962,26.4906,
The Arms,AquiMod,16/02/1962,26.5045,
The Arms,AquiMod,17/02/1962,26.5178,
The Arms,AquiMod,18/02/1962,26.5305,
The Arms,AquiMod,19/02/1962,26.5425,
The Arms,AquiMod,20/02/1962,26.5539,
The Arms,AquiMod,21/02/1962,26.5646,
The Arms,AquiMod,22/02/1962,26.5747,
The Arms,AquiMod,23/02/1962,26.5842,
The Arms,AquiMod,24/02/1962,26.5931,
The Arms,AquiMod,25/02/1962,26.6014,
