Borehole,Model,Date,Sim,Obs
The Barracks,AquiMod,01/01/1962,121.045,
The Barracks,AquiMod,02/01/1962,121.097,
The Barracks,AquiMod,03/01/1962,121.15,
The Barracks,AquiMod,04/01/1962,121.204,
The Barracks,AquiMod,05/01/1962,121.264,
The Barracks,AquiMod,06/01/1962,121.326,
The Barracks,AquiMod,07/01/1962,121.391,
The Barracks,AquiMod,08/01/1962,121.459,
The Barracks,AquiMod,09/01/1962,121.531,
The Barracks,AquiMod,10/01/1962,121.608,
The Barracks,AquiMod,11/01/1962,121.69,
The Barracks,AquiMod,12/01/1962,121.776,
The Barracks,AquiMod,13/01/1962,121.865,
The Barracks,AquiMod,14/01/1962,121.962,
The Barracks,AquiMod,15/01/1962,122.105,
The Barracks,AquiMod,16/01/1962,122.253,
The Barracks,AquiMod,17/01/1962,122.403,
The Barracks,AquiMod,18/01/1962,122.557,
The Barracks,AquiMod,19/01/1962,122.711,
The Barracks,AquiMod,20/01/1962,122.868,
The Barracks,AquiMod,21/01/1962,123.033,
The Barracks,AquiMod,22/01/1962,123.2,
The Barracks,AquiMod,23/01/1962,123.368,
The Barracks,AquiMod,24/01/1962,123.536,
The Barracks,AquiMod,25/01/1962,123.702,
The Barracks,AquiMod,26/01/1962,123.866,
The Barracks,AquiMod,27/01/1962,124.026,
The Barracks,AquiMod,28/01/1962,124.182,
The Barracks,AquiMod,29/01/1962,124.331,
The Barracks,AquiMod,30/01/1962,124.474,
The Barracks,AquiMod,31/01/1962,124.614,
The Barracks,AquiMod,01/02/1962,124.748,
The Barracks,AquiMod,02/02/1962,124.876,
The Barracks,AquiMod,03/02/1962,124.996,
The Barracks,AquiMod,04/02/1962,125.109,
The Barracks,AquiMod,05/02/1962,125.214,
The Barracks,AquiMod,06/02/1962,125.311,
The Barracks,AquiMod,07/02/1962,125.401,
The Barracks,AquiMod,08/02/1962,125.483,
The Barracks,AquiMod,09/02/1962,125.558,
The Barracks,AquiMod,10/02/1962,125.625,
The Barracks,AquiMod,11/02/1962,125.685,
The Barracks,AquiMod,12/02/1962,125.738,
The Barracks,AquiMod,13/02/1962,125.785,
The Barracks,AquiMod,14/02/1962,125.825,
The Barracks,AquiMod,15/02/1962,125.859,
The Barracks,AquiMod,16/02/1962,125.887,
The Barracks,AquiMod,17/02/1962,125.91,
The Barracks,AquiMod,18/02/1962,125.927,
The Barracks,AquiMod,19/02/1962,125.94,
The Barracks,AquiMod,20/02/1962,125.948,
The Barracks,AquiMod,21/02/1962,125.951,
The Barracks,AquiMod,22/02/1962,125.951,
The Barracks,AquiMod,23/02/1962,125.947,
The Barracks,AquiMod,24/02/1962,125.939,
The Barracks,AquiMod,25/02/1962,125.928,
