Borehole,Model,Date,Sim,Obs
Therfield Rectory,AquiMod,01/01/1962,79.6174,78.93
Therfield Rectory,AquiMod,02/01/1962,79.6002,78.92
Therfield Rectory,AquiMod,03/01/1962,79.5846,78.91000000000001
Therfield Rectory,AquiMod,04/01/1962,79.5711,78.9
Therfield Rectory,AquiMod,05/01/1962,79.5609,78.89
Therfield Rectory,AquiMod,06/01/1962,79.5536,78.88000000000001
Therfield Rectory,AquiMod,07/01/1962,79.5488,78.87
Therfield Rectory,AquiMod,08/01/1962,79.5467,78.86
Therfield Rectory,AquiMod,09/01/1962,79.5479,78.85000000000001
Therfield Rectory,AquiMod,10/01/1962,79.5524,78.84
Therfield Rectory,AquiMod,11/01/1962,79.5606,78.83000000000001
Therfield Rectory,AquiMod,12/01/1962,79.5722,78.82000000000001
Therfield Rectory,AquiMod,13/01/1962,79.5867,78.81
Therfield Rectory,AquiMod,14/01/1962,79.604,78.80000000000001
Therfield Rectory,AquiMod,15/01/1962,79.6244,78.79
Therfield Rectory,AquiMod,16/01/1962,79.6476,78.78
Therfield Rectory,AquiMod,17/01/1962,79.674,78.77000000000001
Therfield Rectory,AquiMod,18/01/1962,79.7035,78.76
Therfield Rectory,AquiMod,19/01/1962,79.7359,78.75
Therfield Rectory,AquiMod,20/01/1962,79.7715,78.74000000000001
Therfield Rectory,AquiMod,21/01/1962,79.8113,78.73
Therfield Rectory,AquiMod,22/01/1962,79.8547,78.72
Therfield Rectory,AquiMod,23/01/1962,79.9017,78.71000000000001
Therfield Rectory,AquiMod,24/01/1962,79.952,78.7
Therfield Rectory,AquiMod,25/01/1962,80.0055,78.69000000000001
Therfield Rectory,AquiMod,26/01/1962,80.0619,78.68
Therfield Rectory,AquiMod,27/01/1962,80.121,78.67
Therfield Rectory,AquiMod,28/01/1962,80.1826,78.66000000000001
Therfield Rectory,AquiMod,29/01/1962,80.2467,78.65
Therfield Rectory,AquiMod,30/01/1962,80.313,78.64
Therfield Rectory,AquiMod,31/01/1962,80.3817,78.63000000000001
Therfield Rectory,AquiMod,01/02/1962,80.4524,78.62
Therfield Rectory,AquiMod,02/02/1962,80.5252,78.65285714285714
Therfield Rectory,AquiMod,03/02/1962,80.5998,78.68571428571428
Therfield Rectory,AquiMod,04/02/1962,80.6761,78.71857142857144
Therfield Rectory,AquiMod,05/02/1962,80.7539,78.75142857142858
