Borehole,Model,Date,Sim,Obs
Washpit Farm,AquiMod,01/01/1962,44.2189,42.88
Washpit Farm,AquiMod,02/01/1962,44.2506,42.90935483870968
Washpit Farm,AquiMod,03/01/1962,44.2884,42.938709677419354
Washpit Farm,AquiMod,04/01/1962,44.3338,42.96806451612903
Washpit Farm,AquiMod,05/01/1962,44.3785,42.99741935483871
Washpit Farm,AquiMod,06/01/1962,44.4215,43.02677419354839
Washpit Farm,AquiMod,07/01/1962,44.4628,43.05612903225806
Washpit Farm,AquiMod,08/01/1962,44.5055,43.08548387096774
Washpit Farm,AquiMod,09/01/1962,44.5519,43.11483870967742
Washpit Farm,AquiMod,10/01/1962,44.6012,43.1441935483871
Washpit Farm,AquiMod,11/01/1962,44.654,43.17354838709677
Washpit Farm,AquiMod,12/01/1962,44.7049,43.20290322580645
Washpit Farm,AquiMod,13/01/1962,44.7537,43.23225806451613
Washpit Farm,AquiMod,14/01/1962,44.8007,43.26161290322581
Washpit Farm,AquiMod,15/01/1962,44.8464,43.29096774193548
Washpit Farm,AquiMod,16/01/1962,44.8904,43.32032258064516
Washpit Farm,AquiMod,17/01/1962,44.9325,43.34967741935484
Washpit Farm,AquiMod,18/01/1962,44.9763,43.37903225806452
Washpit Farm,AquiMod,19/01/1962,45.0183,43.40838709677419
Washpit Farm,AquiMod,20/01/1962,45.0616,43.43774193548387
Washpit Farm,AquiMod,21/01/1962,45.1071,43.46709677419355
Washpit Farm,AquiMod,22/01/1962,45.1507,43.49645161290323
Washpit Farm,AquiMod,23/01/1962,45.1941,43.5258064516129
Washpit Farm,AquiMod,24/01/1962,45.2356,43.55516129032258
Washpit Farm,AquiMod,25/01/1962,45.2753,43.58451612903226
Washpit Farm,AquiMod,26/01/1962,45.3132,43.61387096774194
Washpit Farm,AquiMod,27/01/1962,45.3495,43.64322580645161
Washpit Farm,AquiMod,28/01/1962,45.384,43.67258064516129
Washpit Farm,AquiMod,29/01/1962,45.417,43.70193548387097
Washpit Farm,AquiMod,30/01/1962,45.4483,43.73129032258065
Washpit Farm,AquiMod,31/01/1962,45.4872,43.76064516129032
Washpit Farm,AquiMod,01/02/1962,45.5244,43.79
Washpit Farm,AquiMod,02/02/1962,45.5618,43.81892857142857
Washpit Farm,AquiMod,03/02/1962,45.5976,43.847857142857144
Washpit Farm,AquiMod,04/02/1962,45.6333,43.87678571428572
Washpit Farm,AquiMod,05/02/1962,45.6673,43.90571428571428
Washpit Farm,AquiMod,06/02/1962,45.6996,43.934642857142855
Washpit Farm,AquiMod,07/02/1962,45.733,43.96357142857143
Washpit Farm,AquiMod,08/02/1962,45.7648,43.9925
Washpit Farm,AquiMod,09/02/1962,45.7949,44.02142857142857
Washpit Farm,AquiMod,10/02/1962,45.8234,44.050357142857145
Washpit Farm,AquiMod,11/02/1962,45.8504,44.07928571428572
Washpit Farm,AquiMod,12/02/1962,45.8759,44.10821428571428
Washpit Farm,AquiMod,13/02/1962,45.8999,44.137142857142855
Washpit Farm,AquiMod,14/02/1962,45.9225,44.16607142857143
Washpit Farm,AquiMod,15/02/1962,45.9507,44.195
Washpit Farm,AquiMod,16/02/1962,45.9774,44.22392857142857
Washpit Farm,AquiMod,17/02/1962,46.0025,44.252857142857145
Washpit Farm,AquiMod,18/02/1962,46.0261,44.28178571428572
Washpit Farm,AquiMod,19/02/1962,46.0484,44.31071428571428
Washpit Farm,AquiMod,20/02/1962,46.0692,44.339642857142856
Washpit Farm,AquiMod,21/02/1962,46.0886,44.36857142857143
Washpit Farm,AquiMod,22/02/1962,46.1067,44.3975
Washpit Farm,AquiMod,23/02/1962,46.1236,44.42642857142857
Washpit Farm,AquiMod,24/02/1962,46.1392,44.455357142857146
Washpit Farm,AquiMod,25/02/1962,46.1535,44.48428571428572
Washpit Farm,AquiMod,26/02/1962,46.1667,44.513214285714284
Washpit Farm,AquiMod,27/02/1962,46.1788,44.542142857142856
Washpit Farm,AquiMod,28/02/1962,46.1897,44.57107142857143
Washpit Farm,AquiMod,01/03/1962,46.1996,44.6
Washpit Farm,AquiMod,02/03/1962,46.2084,44.612903225806456
Washpit Farm,AquiMod,03/03/1962,46.2162,44.6258064516129
Washpit Farm,AquiMod,04/03/1962,46.223,44.63870967741936
Washpit Farm,AquiMod,05/03/1962,46.2289,44.65161290322581
Washpit Farm,AquiMod,06/03/1962,46.2338,44.66451612903226
Washpit Farm,AquiMod,07/03/1962,46.2379,44.67741935483871
Washpit Farm,AquiMod,08/03/1962,46.2411,44.690322580645166
Washpit Farm,AquiMod,09/03/1962,46.2434,44.70322580645161
Washpit Farm,AquiMod,10/03/1962,46.2449,44.71612903225807
Washpit Farm,AquiMod,11/03/1962,46.2457,44.729032258064514
Washpit Farm,AquiMod,12/03/1962,46.2457,44.74193548387097
Washpit Farm,AquiMod,13/03/1962,46.2449,44.75483870967742
Washpit Farm,AquiMod,14/03/1962,46.2434,44.76774193548387
Washpit Farm,AquiMod,15/03/1962,46.2412,44.78064516129032
Washpit Farm,AquiMod,16/03/1962,46.2384,44.79354838709678
Washpit Farm,AquiMod,17/03/1962,46.2349,44.806451612903224
Washpit Farm,AquiMod,18/03/1962,46.2308,44.81935483870968
Washpit Farm,AquiMod,19/03/1962,46.2261,44.83225806451613
Washpit Farm,AquiMod,20/03/1962,46.2208,44.84516129032258
Washpit Farm,AquiMod,21/03/1962,46.215,44.85806451612903
Washpit Farm,AquiMod,22/03/1962,46.2086,44.87096774193549
Washpit Farm,AquiMod,23/03/1962,46.2016,44.883870967741935
Washpit Farm,AquiMod,24/03/1962,46.1941,44.89677419354839
Washpit Farm,AquiMod,25/03/1962,46.1861,44.909677419354836
Washpit Farm,AquiMod,26/03/1962,46.1777,44.92258064516129
Washpit Farm,AquiMod,27/03/1962,46.1678,44.935483870967744
Washpit Farm,AquiMod,28/03/1962,46.1582,44.94838709677419
Washpit Farm,AquiMod,29/03/1962,46.1536,44.961290322580645
Washpit Farm,AquiMod,30/03/1962,46.1484,44.9741935483871
Washpit Farm,AquiMod,31/03/1962,46.143,44.987096774193546
Washpit Farm,AquiMod,01/04/1962,46.1371,45.0
Washpit Farm,AquiMod,02/04/1962,46.1306,44.99366666666667
Washpit Farm,AquiMod,03/04/1962,46.1275,44.98733333333333
Washpit Farm,AquiMod,04/04/1962,46.1323,44.981
Washpit Farm,AquiMod,05/04/1962,46.1362,44.974666666666664
Washpit Farm,AquiMod,06/04/1962,46.1415,44.968333333333334
Washpit Farm,AquiMod,07/04/1962,46.1495,44.962
Washpit Farm,AquiMod,08/04/1962,46.1565,44.955666666666666
Washpit Farm,AquiMod,09/04/1962,46.1625,44.949333333333335
Washpit Farm,AquiMod,10/04/1962,46.1677,44.943
Washpit Farm,AquiMod,11/04/1962,46.1719,44.93666666666667
Washpit Farm,AquiMod,12/04/1962,46.1753,44.93033333333334
Washpit Farm,AquiMod,13/04/1962,46.1779,44.924
Washpit Farm,AquiMod,14/04/1962,46.1797,44.91766666666667
Washpit Farm,AquiMod,15/04/1962,46.1806,44.91133333333333
Washpit Farm,AquiMod,16/04/1962,46.1806,44.905
Washpit Farm,AquiMod,17/04/1962,46.1793,44.89866666666667
Washpit Farm,AquiMod,18/04/1962,46.1773,44.89233333333333
Washpit Farm,AquiMod,19/04/1962,46.1745,44.886
Washpit Farm,AquiMod,20/04/1962,46.171,44.879666666666665
Washpit Farm,AquiMod,21/04/1962,46.1669,44.873333333333335
Washpit Farm,AquiMod,22/04/1962,46.1621,44.867000000000004
Washpit Farm,AquiMod,23/04/1962,46.1568,44.86066666666667
Washpit Farm,AquiMod,24/04/1962,46.1508,44.85433333333334
Washpit Farm,AquiMod,25/04/1962,46.1443,44.848
Washpit Farm,AquiMod,26/04/1962,46.137,44.84166666666667
Washpit Farm,AquiMod,27/04/1962,46.1289,44.83533333333334
Washpit Farm,AquiMod,28/04/1962,46.1204,44.829
Washpit Farm,AquiMod,29/04/1962,46.1113,44.82266666666667
Washpit Farm,AquiMod,30/04/1962,46.1019,44.81633333333333
Washpit Farm,AquiMod,01/05/1962,46.092,44.81
Washpit Farm,AquiMod,02/05/1962,46.0817,44.8083870967742
Washpit Farm,AquiMod,03/05/1962,46.0711,44.80677419354839
Washpit Farm,AquiMod,04/05/1962,46.0601,44.80516129032258
Washpit Farm,AquiMod,05/05/1962,46.0488,44.803548387096775
Washpit Farm,AquiMod,06/05/1962,46.0371,44.80193548387097
Washpit Farm,AquiMod,07/05/1962,46.0251,44.800322580645165
Washpit Farm,AquiMod,08/05/1962,46.0128,44.79870967741935
Washpit Farm,AquiMod,09/05/1962,46.0002,44.79709677419355
