Borehole,Model,Date,Sim,Obs
West Woodyates Manor,AquiMod,01/01/1962,83.4787,74.35
West Woodyates Manor,AquiMod,02/01/1962,83.8754,74.56714285714285
West Woodyates Manor,AquiMod,03/01/1962,84.2313,74.78428571428572
West Woodyates Manor,AquiMod,04/01/1962,84.5476,75.00142857142858
West Woodyates Manor,AquiMod,05/01/1962,84.8251,75.21857142857142
West Woodyates Manor,AquiMod,06/01/1962,85.0654,75.43571428571428
West Woodyates Manor,AquiMod,07/01/1962,85.2784,75.65285714285714
West Woodyates Manor,AquiMod,08/01/1962,85.5105,75.87
West Woodyates Manor,AquiMod,09/01/1962,85.8652,77.30714285714286
West Woodyates Manor,AquiMod,10/01/1962,86.4469,78.74428571428572
West Woodyates Manor,AquiMod,11/01/1962,87.1922,80.18142857142858
West Woodyates Manor,AquiMod,12/01/1962,87.9063,81.61857142857143
West Woodyates Manor,AquiMod,13/01/1962,88.5497,83.05571428571429
West Woodyates Manor,AquiMod,14/01/1962,89.1178,84.49285714285715
West Woodyates Manor,AquiMod,15/01/1962,89.7554,85.93
West Woodyates Manor,AquiMod,16/01/1962,90.3925,86.58285714285715
West Woodyates Manor,AquiMod,17/01/1962,91.0097,87.2357142857143
West Woodyates Manor,AquiMod,18/01/1962,91.6315,87.88857142857144
West Woodyates Manor,AquiMod,19/01/1962,92.1713,88.54142857142857
West Woodyates Manor,AquiMod,20/01/1962,92.7634,89.19428571428571
West Woodyates Manor,AquiMod,21/01/1962,93.6377,89.84714285714286
West Woodyates Manor,AquiMod,22/01/1962,94.4136,90.5
West Woodyates Manor,AquiMod,23/01/1962,95.1849,91.63285714285715
West Woodyates Manor,AquiMod,24/01/1962,95.8648,92.76571428571428
West Woodyates Manor,AquiMod,25/01/1962,96.4169,93.89857142857143
West Woodyates Manor,AquiMod,26/01/1962,96.8503,95.03142857142858
West Woodyates Manor,AquiMod,27/01/1962,97.2485,96.16428571428573
West Woodyates Manor,AquiMod,28/01/1962,97.5402,97.29714285714286
West Woodyates Manor,AquiMod,29/01/1962,97.7342,98.43
West Woodyates Manor,AquiMod,30/01/1962,97.9021,98.56
West Woodyates Manor,AquiMod,31/01/1962,98.0444,98.69000000000001
West Woodyates Manor,AquiMod,01/02/1962,98.11,98.82000000000001
West Woodyates Manor,AquiMod,02/02/1962,98.106,98.95
West Woodyates Manor,AquiMod,03/02/1962,98.0405,99.08
West Woodyates Manor,AquiMod,04/02/1962,97.9226,99.21000000000001
West Woodyates Manor,AquiMod,05/02/1962,97.7593,99.34
West Woodyates Manor,AquiMod,06/02/1962,97.5737,98.914
West Woodyates Manor,AquiMod,07/02/1962,97.3899,98.488
West Woodyates Manor,AquiMod,08/02/1962,97.1761,98.062
West Woodyates Manor,AquiMod,09/02/1962,96.9362,97.636
West Woodyates Manor,AquiMod,10/02/1962,96.6743,97.21
West Woodyates Manor,AquiMod,11/02/1962,96.3945,96.93888888888888
West Woodyates Manor,AquiMod,12/02/1962,96.1004,96.66777777777777
West Woodyates Manor,AquiMod,13/02/1962,95.7954,96.39666666666666
West Woodyates Manor,AquiMod,14/02/1962,95.4778,96.12555555555555
West Woodyates Manor,AquiMod,15/02/1962,95.1539,95.85444444444444
